		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 7.984375	M = 4096	N = 8	m = 9	n = 32768
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    6    7    4    4    5   13    9    8  9.277020 0.319469 SUCCESS   0
000000011    1    9    6    4   10    9    8   12 11.745707 0.162916 SUCCESS   1
000000101    7    8    6    7    2    3    8    8  8.602273 0.376950 SUCCESS   2
000000111    4    9    4    5    9    8    9   10  6.182071 0.626845 SUCCESS   3
000001001    7   12    8    9    9    7    7   14  7.406313 0.493495 SUCCESS   4
000001011   10    8    5    7    4    7    9   10  4.638636 0.795408 SUCCESS   5
000001101    5    9    7    5    8    8   10   10  3.612374 0.890296 SUCCESS   6
000001111    8    8    7    2    9    9   13   10  8.800253 0.359426 SUCCESS   7
000010001    7    9    5    7   10   11    4    7  5.414394 0.712505 SUCCESS   8
000010011    9   12   10   11    6    7    8    9  4.687121 0.790433 SUCCESS   9
000010101   11    2    7    6    5    8    5    6  9.252778 0.321423 SUCCESS  10
000010111    5   14    3    9    7    4    6    9 11.996212 0.151373 SUCCESS  11
000011001    5    9   12    6    8   12    8   10  6.489141 0.592612 SUCCESS  12
000011011    5    5    6   10    7    7    6    9  4.230556 0.835746 SUCCESS  13
000011101   10    8   11   11    5    7    6    5  5.814394 0.668014 SUCCESS  14
000011111   12    9    8    6    8    6   11   13  7.664899 0.466869 SUCCESS  15
000100011   13    9    8    7   10    8    5    9  5.321465 0.722730 SUCCESS  16
000100101    6    7    8    4    8   11    7    6  4.497222 0.809711 SUCCESS  17
000100111    8    5    8   11    5    8    5    5  5.782071 0.671628 SUCCESS  18
000101001    9    8    7    9   11    5   11    5  5.046717 0.752571 SUCCESS  19
