		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 22.765625	M = 11664	N = 8	m = 9	n = 93312
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   13   22   28   19   21   30   25   28 10.232853 0.249062 SUCCESS   0
000000011   17   27   24   22   16   22   24   26  5.068230 0.750259 SUCCESS   1
000000101   28   25   23   24   29   40   18   24 17.893237 0.022041 SUCCESS   2
000000111   19   27   20   33   20   17   19   24  9.130404 0.331415 SUCCESS   3
000001001   24   29   33   22   24   25   21   26  7.528520 0.480824 SUCCESS   4
000001011   25   18   28   25   20   30   17   24  7.030503 0.533345 SUCCESS   5
000001101   15   21   19   22   23   21   17   21  5.344906 0.720156 SUCCESS   6
000001111   28   21   27   37   19   23   14   22 15.560643 0.049118 SUCCESS   7
000010001   33   27   15   25   17   22   30   21 12.588148 0.126828 SUCCESS   8
000010011   30   31   39   21   16   28   21   25 21.253079 0.006505 FAILURE   9
000010101   23   29   18   19   26   38   28   27 16.512693 0.035603 SUCCESS  10
000010111   27   23   22   17   22   28   18   20  5.001544 0.757411 SUCCESS  11
000011001   20   23   24   19   13   20   27   23  6.556606 0.585136 SUCCESS  12
000011011   20   21   26   23   27   23   17   24  3.361350 0.909680 SUCCESS  13
000011101   26   19   23   24   24   14   29   16  8.591240 0.377942 SUCCESS  14
000011111   17   15   33   33   31   25   13   19 22.037705 0.004846 FAILURE  15
000100011   33   29   15   30   19   21   23   21 12.564027 0.127757 SUCCESS  16
000100101   21   27   25   30   24   35   30   19 13.443716 0.097467 SUCCESS  17
000100111   23   35   34   20   14   23   23   22 16.396348 0.037046 SUCCESS  18
000101001   34   27   25   18   20   27   17   17 11.982298 0.151995 SUCCESS  19
000101011   19   22   22   33   18   25   23   22  6.739638 0.564967 SUCCESS  20
000101101   25   21   26   24   20   22   19   22  1.956686 0.982311 SUCCESS  21
000101111   25   27   20   16   23   22   15   23  6.235945 0.620821 SUCCESS  22
000110011   20   16   30   21   15   19   23   20  8.674953 0.370454 SUCCESS  23
000110101   19   18   28   20   27   20   22   18  5.485372 0.704660 SUCCESS  24
000110111   19   20   20   25   20   17   20   25  3.995577 0.857522 SUCCESS  25
000111001   22   21   21   29   22   22   24   27  3.010894 0.933672 SUCCESS  26
000111011   24   20   20   26   27   20   30   25  5.002962 0.757259 SUCCESS  27
000111101   32   23   20   21   26   22   15   15 10.340685 0.241924 SUCCESS  28
000111111   20   13   21   29   21   16   16   12 16.143792 0.040368 SUCCESS  29
001000011   24   23   20   26   20   16   26   29  5.559153 0.696478 SUCCESS  30
001000101   29   21   17   21   14   27   24   24  7.998160 0.433650 SUCCESS  31
001000111   32   27   15   24   22   23   20   18  8.900550 0.350755 SUCCESS  32
001001011   23   27   25   23   17   34   34   21 14.157398 0.077754 SUCCESS  33
001001101   26   15   23   13   30   26   24   32 14.337593 0.073380 SUCCESS  34
001001111   18   33   32   24   18   24   27   26 12.117089 0.146056 SUCCESS  35
001010011   35   24   24   14   17   29   24   20 14.113414 0.078857 SUCCESS  36
001010101   22   23   12   11   15   31   22   23 17.422178 0.026001 SUCCESS  37
001010111   27   20   24   31   12   25   20   25 10.371900 0.239887 SUCCESS  38
001011011   19   24   22   24   28   27   22   24  2.962653 0.936679 SUCCESS  39
001011101   23   20   16   29   23   23   25   20  4.771689 0.781676 SUCCESS  40
001011111   22   29   16   19   29   25   25   26  7.206440 0.514532 SUCCESS  41
001100101   29   27   19   18   20   24   22   20  5.044109 0.752851 SUCCESS  42
001100111   20   22   34   24   16   21   20   25  8.967236 0.345067 SUCCESS  43
001101011   24   25   26   18   27   25   25   16  5.147685 0.741681 SUCCESS  44
001101101   20   22   20   23   23   21   18   23  1.901351 0.983888 SUCCESS  45
001101111   21   22   21   24   20   19   20   26  2.192216 0.974545 SUCCESS  46
001110101   28   26   22   28   33   19   21   22  8.557188 0.381015 SUCCESS  47
001110111   22   20   20   19   30   18   32   22  8.670696 0.370832 SUCCESS  48
001111011   24   20   20   21   21   17   21   18  3.728833 0.880723 SUCCESS  49
001111101   11   23   29   25   29   22   18   34 16.831935 0.031907 SUCCESS  50
