		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 17.070312	M = 8748	N = 8	m = 9	n = 69984
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   10   11   22   20   14   14   23   19 10.743107 0.216684 SUCCESS   0
000000011   14   18   18   18   16   12   18   14  2.976309 0.935835 SUCCESS   1
000000101   21   19   17   19   19   18   30   26 16.611481 0.034419 SUCCESS   2
000000111   14   21   17   14   26   15   18   11  9.446276 0.306057 SUCCESS   3
000001001   23   17   21   25   19   11   18   23 11.507396 0.174573 SUCCESS   4
000001011   17   17   14   23   18   17   21   19  3.912752 0.864908 SUCCESS   5
000001101   11   16   16   12   18   12   19   17  5.760098 0.674084 SUCCESS   6
000001111   22   16   16   22   25   23   15   16  9.345065 0.314028 SUCCESS   7
000010001   22   25   18   11   21   11   16   16 10.865129 0.209459 SUCCESS   8
000010011   27   26   13   34   20    8   12   25 40.013087 0.000003 FAILURE   9
000010101   19   16   23   12   14   14   29   25 17.543194 0.024924 SUCCESS  10
000010111   20   18   14   20   15   11   22   19  5.849012 0.664140 SUCCESS  11
000011001   14   18   15   20   15    8   17   12  8.198632 0.414312 SUCCESS  12
000011011   16   16   19   16   19   14   22   18  2.753076 0.948885 SUCCESS  13
000011101   16   19   12   21   18   19   18    7  9.255204 0.321227 SUCCESS  14
000011111   13   13   16   23   23   25   24   17 13.046378 0.110264 SUCCESS  15
000100011   26   20   22    9   23   17   15   15 13.408658 0.098541 SUCCESS  16
000100101   15   16   25   17   19   22   15   32 19.585396 0.012024 SUCCESS  17
000100111   19   26   18   29   19    9    9   20 22.351212 0.004305 FAILURE  18
000101001   27   18   21   20   13   16   15   21  9.742343 0.283578 SUCCESS  19
000101011   13   16   20   14   27   16   14   19  8.996973 0.342551 SUCCESS  20
000101101   23   15   15   19   16   20   14   16  4.101932 0.847812 SUCCESS  21
000101111   21   18   15   18   13   13   21   14  4.810412 0.777634 SUCCESS  22
000110011   16    6   21   23   18   13   13   11 14.840753 0.062317 SUCCESS  23
000110101   14   14   21   17   14   16   21   16  3.720734 0.881400 SUCCESS  24
000110111   15   14   16   14   20   13   14   15  3.822891 0.872739 SUCCESS  25
000111001   19   12   18   15   22   20   15   16  4.413134 0.818060 SUCCESS  26
000111011   16   18   11   18   20   19   20   14  4.240034 0.834843 SUCCESS  27
000111101   22   27   11   15   14   23   18   14 13.252584 0.103449 SUCCESS  28
000111111   13   17   11   13   20   18   17   11  7.039902 0.532334 SUCCESS  29
001000011   18   23   15   12   21   17   12   12  8.044450 0.429140 SUCCESS  30
001000101   21   18   18   11   19    8   18   17  8.528752 0.383594 SUCCESS  31
001000111   24   24   14   12   21   16   17   15  9.205071 0.325293 SUCCESS  32
001001011   17   18   21   19   18   11   13   31 16.245417 0.038999 SUCCESS  33
001001101   17   16   11   20   10   22   15   22  9.048052 0.338259 SUCCESS  34
001001111   13   24   23   23   19   15   15   17  8.911842 0.349787 SUCCESS  35
001010011   26   19   18   20    9   10   19   22 14.290238 0.074507 SUCCESS  36
001010101   17   17   16    7    8   10   18   21 15.203034 0.055316 SUCCESS  37
001010111   21   16   16   18   22   17   11   18  4.880409 0.770278 SUCCESS  38
001011011   14   19   17   15   17   23   20   19  3.929778 0.863403 SUCCESS  39
001011101   14   19   12   14   23   19   14   19  6.073191 0.639034 SUCCESS  40
001011111   17   17   22   11   14   14   29   16 13.528788 0.094905 SUCCESS  41
001100101   22   18   21   14   13   11   18   20  6.834642 0.554574 SUCCESS  42
001100111   15    9   30   22   21   13   10   17 20.758314 0.007818 FAILURE  43
001101011   20   17   19   18   15   15   22   18  2.840099 0.943988 SUCCESS  44
001101101   16   13   18   15   21   12   15   19  4.360163 0.823255 SUCCESS  45
001101111   13   18   17   16   16   16   13   18  2.318907 0.969641 SUCCESS  46
001110101   21   20   19   16   23   25   19   13  8.912788 0.349706 SUCCESS  47
001110111   10   21   13   18   11   20   22   14  9.808557 0.278721 SUCCESS  48
001111011   18   18   12   16   16   19   14   10  5.621996 0.689490 SUCCESS  49
001111101    7   17   15   24   17   24   21   14 13.718914 0.089392 SUCCESS  50
001111111   12   17   12   13   19   16   19   16  4.705417 0.788547 SUCCESS  51
010000011   22   11   21   25   25   25   17   15 16.316360 0.038069 SUCCESS  52
010000111   15   20   20   19   17   20   17   13  3.047252 0.931357 SUCCESS  53
010001011   25   18   12   15   18   11   16   14  8.597802 0.377352 SUCCESS  54
010001111   19   21    9   13   17   15   18   16  6.487496 0.592795 SUCCESS  55
010010011    7   18   22   15   14   22   12   14 12.091017 0.147189 SUCCESS  56
010010111   18   21   13   15   19   18   16   21  3.531553 0.896727 SUCCESS  57
010011011   14   19   14   18   12    8   14   15  8.786037 0.360666 SUCCESS  58
010011111   12   17   23   22   13   12   18   18  7.820271 0.451221 SUCCESS  59
010100011   19    7   15   10   14   22   18   22 13.215694 0.104641 SUCCESS  60
010100111   20   13   16   21   12   14   24   19  7.786219 0.454627 SUCCESS  61
010101011   16   18   18   13   13   15   16   21  3.443584 0.903524 SUCCESS  62
010101111   13   15   19   19   14   15   11   22  6.245345 0.619771 SUCCESS  63
010110011   23   20   22   17   23   22   19   22  9.416007 0.308426 SUCCESS  64
010110111   14   25   19   18   18   17   24   18  7.667035 0.466652 SUCCESS  65
010111011   15   19   10   18   20   14   18   21  5.640914 0.687383 SUCCESS  66
010111111   15   19   16   15   13   15   19   18  2.353906 0.968196 SUCCESS  67
011000111   16   14   12   17   20   23   14   14  5.986168 0.648781 SUCCESS  68
011001111   20   15   20   15   27   14   22   13 10.571899 0.227155 SUCCESS  69
011010111   18   13    8   24   13   16   21   20 11.469560 0.176486 SUCCESS  70
011011111    8   19   23   15   12   23   20   15 12.057911 0.148639 SUCCESS  71
011101111    4   21   10   23   17   22   19   19 18.353832 0.018725 SUCCESS  72
011111111    8   18   20   21   21   17   17   23  9.551271 0.297943 SUCCESS  73
100000000   10   11   22   20   14   14   23   19 10.743107 0.216684 SUCCESS  74
100010000   16   21    8   23   20   17   11   20 11.383483 0.180903 SUCCESS  75
100100000   16   23   23   19   19   20   18   14  5.919955 0.656198 SUCCESS  76
100101000   25   13   23   19   26   24   19   23 17.251856 0.027591 SUCCESS  77
100110000   22   16   17   21   20   18   22   19  4.744199 0.784534 SUCCESS  78
