		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.664062	M = 1372	N = 8	m = 9	n = 10976
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    4    0    3    1    0    2    5 10.245617 0.248208 SUCCESS   0
000000011    3    3    1    1    1    0    3    3  6.120305 0.633758 SUCCESS   1
000000101    4    3    1    3    6    0    4    4 10.257679 0.247404 SUCCESS   2
000000111    3    3    1    4    3    3    3    4  2.664452 0.953621 SUCCESS   3
000001001    5    4    4    4    2    3    2    2  4.727108 0.786305 SUCCESS   4
000001011    1    5    4    3    3    2    3    4  4.853762 0.773086 SUCCESS   5
000001101    4    1    2    0    1    4    4    2  7.284318 0.506291 SUCCESS   6
000001111    1    4    2    3    2    2    2    6  6.777701 0.560796 SUCCESS   7
000010001    1    2    5    2    0    1    5    2  9.600283 0.294208 SUCCESS   8
000010011    4    2    2    1    2    3    3    4  3.044415 0.931539 SUCCESS   9
000010101    2    3    2    1    4    3    2    2  2.525735 0.960520 SUCCESS  10
000010111    1    5    3    2    2    3    3    3  3.689749 0.883975 SUCCESS  11
000011001    3    4    2    2    4    3    2    4  2.664452 0.953621 SUCCESS  12
000011011    3    1    1    2    1    5    3    2  5.740342 0.676291 SUCCESS  13
000011101    6    4    2    5    2    1    3    1  9.612345 0.293295 SUCCESS  14
000011111    1    2    1    3    2    5    2    4  5.487034 0.704476 SUCCESS  15
000100011    0    2    4    1    1    1    4    2  7.664281 0.466932 SUCCESS  16
000100101    1    3    2    2    1    4    3    2  3.424378 0.904979 SUCCESS  17
000100111    2    1    4    3    1    2    1    3  4.323020 0.826867 SUCCESS  18
000101001    3    6    2    3    5    1    4    3  8.460394 0.389836 SUCCESS  19
000101011    3    4    2    2    5    3    5    3  5.372442 0.717128 SUCCESS  20
000101101    3    2    3    1    2    3    2    3  1.753747 0.987653 SUCCESS  21
000101111    1    2    3    2    3    2    1    3  2.779044 0.947449 SUCCESS  22
000110011    2    4    1    2    4    0    3    3  5.613688 0.690414 SUCCESS  23
000110101    2    3    3    1    0    2    4    1  5.993651 0.647943 SUCCESS  24
000110111    4    3    0    2    1    1    2    3  5.993651 0.647943 SUCCESS  25
000111001    3    0    2    0    2    1    2    5  9.208258 0.325034 SUCCESS  26
000111011    7    3    4    3    0    2    5    0 15.788250 0.045513 SUCCESS  27
000111101    1    4    0    3    3    1    2    2  5.993651 0.647943 SUCCESS  28
000111111    1    0    2    2    3    5    1    5  9.473628 0.303928 SUCCESS  29
