		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 10.109375	M = 5184	N = 8	m = 9	n = 41472
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   12   13   12   12    4    7   10   11  6.831974 0.554865 SUCCESS   0
000000011   11   13   11   14    8   11   11    9  3.304352 0.913832 SUCCESS   1
000000101   12   10   13   15   10    9   16   12  7.700312 0.463278 SUCCESS   2
000000111   13   13   13   10    3   10    5    9 10.519217 0.230456 SUCCESS   3
000001001    7   12   15   14    8    8    9   11  6.458461 0.596019 SUCCESS   4
000001011   13    8   13   13   14   11   17    6 11.218356 0.189631 SUCCESS   5
000001101    7   12   11   12    9   10   14    9  3.598055 0.891448 SUCCESS   6
000001111   13    8    9   10    8   10    8   10  2.346627 0.968500 SUCCESS   7
000010001   13   10   10   10   10   10   13   15  4.156728 0.842713 SUCCESS   8
000010011    7   17    9   13    9    8   13   10  8.252600 0.409193 SUCCESS   9
000010101    7   10   11   13    9    7    9    8  3.617209 0.889905 SUCCESS  10
000010111   12    7    9   14   10    8   16   10  7.026712 0.533753 SUCCESS  11
000011001    7   15   11   11    5    8    5    6 11.106622 0.195731 SUCCESS  12
000011011    7   16   11   10   11   11   11   11  4.938870 0.764089 SUCCESS  13
000011101    9    8    7   10   10    9    4    9  5.634817 0.688062 SUCCESS  14
000011111   14   10    5   10    6    7   11    9  7.135254 0.522113 SUCCESS  15
000100011   10    6   12   10    6   13   18   11 11.113007 0.195378 SUCCESS  16
000100101   14   14   17   11   12   10    7    8  9.832847 0.276954 SUCCESS  17
000100111   10   15    9   13    9    9    8   15  6.573388 0.583279 SUCCESS  18
000101001   12    5    6   11   11   15   15    7 10.793765 0.213661 SUCCESS  19
000101011    6    7   11   11    5    4   14   13 11.754683 0.162490 SUCCESS  20
000101101   14   10    8   11   18   18    5   11 17.552114 0.024847 SUCCESS  21
000101111    9   13    5   11    5    9   16    8 10.519217 0.230456 SUCCESS  22
000110011   12   10   12   12    6    6    6   11  6.353111 0.607742 SUCCESS  23
000110101   10    8   11    9   12   10    7    9  2.142312 0.976335 SUCCESS  24
000110111    9   11   10   12   10    6   14   13  4.699439 0.789164 SUCCESS  25
000111001   16   11    8    9    5    9    7   11  8.067440 0.426910 SUCCESS  26
000111011    7    7   13    9    9    9   11    5  5.954059 0.652378 SUCCESS  27
000111101   10    8   12    7   20    9   12   13 13.146577 0.106905 SUCCESS  28
000111111    9   10   10   12    4    6   10   10  6.033870 0.643438 SUCCESS  29
001000011   12   13    6    8   16    3    4   13 16.773164 0.032560 SUCCESS  30
001000101   11    9    8   12    9    8   16   15  7.594962 0.474000 SUCCESS  31
001000111    4    4   18    6    5   12   13    9 19.722958 0.011437 SUCCESS  32
001001011    9   16   15   13    9    7    6   11  9.887118 0.273038 SUCCESS  33
001001101   13   12    9    8   10   14    9    8  3.926874 0.863660 SUCCESS  34
