		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 31.984375	M = 16384	N = 8	m = 9	n = 131072
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   20   30   31   20   36   32   39   27 12.358649 0.135905 SUCCESS   0
000000011   20   29   28   25   28   37   30   19 13.923295 0.083787 SUCCESS   1
000000101   35   30   32   29   38   36   33   32  2.433396 0.964764 SUCCESS   2
000000111   21   31   33   36   20   28   32   32  9.641477 0.291096 SUCCESS   3
000001001   41   35   26   29   28   45   34   24 12.547538 0.128395 SUCCESS   4
000001011   36   32   34   36   30   34   37   31  2.276831 0.971327 SUCCESS   5
000001101   32   32   28   26   29   35   29   27  3.343497 0.910991 SUCCESS   6
000001111   26   32   33   31   31   26   40   35  4.781881 0.780614 SUCCESS   7
000010001   36   34   38   28   36   39   30   42  7.817235 0.451524 SUCCESS   8
000010011   32   29   31   27   25   42   31   29  6.260669 0.618058 SUCCESS   9
000010101   21   35   31   25   51   26   37   37 20.273801 0.009348 FAILURE  10
000010111   30   40   38   43   39   41   34   33 11.678851 0.166118 SUCCESS  11
000011001   37   34   32   25   31   32   34   21  6.583902 0.582117 SUCCESS  12
000011011   31   37   32   17   28   34   28   30  9.386932 0.310713 SUCCESS  13
000011101   27   30   35   34   29   29   27   35  3.028346 0.932566 SUCCESS  14
000011111   28   25   28   32   27   38   27   40  7.455619 0.488364 SUCCESS  15
000100011   39   39   39   25   33   28   25   29  8.760669 0.362886 SUCCESS  16
000100101   40   31   28   32   28   43   34   26  8.345518 0.400467 SUCCESS  17
000100111   28   31   26   33   25   32   26   31  4.501073 0.809326 SUCCESS  18
000101001   30   39   37   37   27   42   27   24 10.253598 0.247676 SUCCESS  19
000101011   24   25   26   37   43   26   29   39 12.566730 0.127652 SUCCESS  20
000101101   26   32   26   30   33   36   35   30  3.418245 0.905441 SUCCESS  21
000101111   38   39   35   37   29   41   35   26  8.234407 0.410914 SUCCESS  22
000110011   36   31   35   25   26   21   38   34  8.781881 0.361029 SUCCESS  23
000110101   29   30   37   23   28   35   41   28  7.784912 0.454758 SUCCESS  24
000110111   30   30   31   26   32   35   25   24  5.374811 0.716867 SUCCESS  25
000111001   29   41   31   23   23   30   22   26 12.671780 0.123653 SUCCESS  26
000111011   24   26   27   44   37   36   25   28 12.112184 0.146268 SUCCESS  27
000111101   34   33   27   30   32   24   43   33  7.111174 0.524687 SUCCESS  28
000111111   30   24   38   36   27   29   41   35  7.890972 0.444192 SUCCESS  29
001000011   33   28   29   35   21   28   34   43  9.595013 0.294608 SUCCESS  30
001000101   28   42   24   25   25   31   33   31  9.065720 0.336782 SUCCESS  31
001000111   30   47   45   27   36   32   34   28 14.859659 0.061932 SUCCESS  32
001001011   27   24   29   37   29   38   31   28  5.966730 0.650959 SUCCESS  33
001001101   38   32   30   25   27   36   36   36  5.240467 0.731593 SUCCESS  34
001001111   33   34   22   41   27   34   25   36  9.046528 0.338386 SUCCESS  35
001010011   30   37   32   48   33   43   27   31 14.021275 0.081213 SUCCESS  36
001010101   25   34   30   30   32   24   28   29  4.824306 0.776179 SUCCESS  37
001010111   40   35   29   39   38   25   29   37  8.097033 0.424050 SUCCESS  38
001011011   32   38   26   30   34   34   33   26  3.908144 0.865314 SUCCESS  39
001011101   33   29   33   37   40   32   27   30  4.174811 0.841017 SUCCESS  40
001011111   41   36   35   39   24   39   38   32  9.854609 0.275379 SUCCESS  41
001100101   32   28   33   33   35   38   27   28  3.359659 0.909804 SUCCESS  42
001100111   35   30   32   33   23   26   40   30  6.425316 0.599703 SUCCESS  43
001101011   25   28   30   26   32   33   47   38 11.865720 0.157296 SUCCESS  44
001101101   34   23   35   36   36   27   32   33  4.913194 0.766812 SUCCESS  45
001101111   29   32   34   28   32   45   34   28  7.052588 0.530970 SUCCESS  46
001110101   35   35   35   30   32   28   26   35  2.973801 0.935991 SUCCESS  47
001110111   25   23   31   35   34   31   34   28  5.318245 0.723083 SUCCESS  48
001111011   34   34   24   27   41   32   27   34  6.687942 0.570645 SUCCESS  49
001111101   38   42   30   35   34   31   31   32  5.027336 0.754650 SUCCESS  50
001111111   35   26   36   22   23   27   37   32  9.420265 0.308092 SUCCESS  51
010000011   37   31   30   24   29   27   28   28  5.149558 0.741478 SUCCESS  52
010000111   25   36   29   34   23   36   36   35  6.462689 0.595549 SUCCESS  53
010001011   34   44   31   24   33   31   39   30  8.672790 0.370646 SUCCESS  54
010001111   35   41   41   35   42   20   39   29 15.606124 0.048377 SUCCESS  55
010010011   41   34   27   37   34   30   34   27  5.567740 0.695524 SUCCESS  56
010010111   34   25   34   34   26   27   38   35  5.395013 0.714642 SUCCESS  57
010011011   37   28   30   31   28   35   32   37  3.105114 0.927589 SUCCESS  58
010011111   31   26   26   28   22   24   34   27  9.076831 0.335856 SUCCESS  59
010100011   37   37   38   33   43   22   23   40 14.659659 0.066111 SUCCESS  60
010100111   26   37   29   55   32   35   27   23 23.086932 0.003254 FAILURE  61
010101011   17   35   27   32   33   25   36   33 10.519255 0.230454 SUCCESS  62
010101111   34   28   31   38   35   27   27   28  4.258649 0.833066 SUCCESS  63
010110011   33   38   42   19   34   31   44   33 14.757639 0.064033 SUCCESS  64
010110111   28   31   25   36   31   38   34   30  4.102083 0.847798 SUCCESS  65
010111011   28   31   34   32   42   25   36   39  7.607134 0.472755 SUCCESS  66
010111111   37   27   38   36   36   37   42   36  8.405114 0.394930 SUCCESS  67
011000111   21   27   33   42   38   36   38   34 10.970770 0.203361 SUCCESS  68
011001111   42   41   28   26   32   31   36   34  8.224306 0.411872 SUCCESS  69
011010111   31   29   26   32   32   33   31   39  3.132386 0.925777 SUCCESS  70
011011111   26   37   29   39   34   40   29   32  6.345518 0.608589 SUCCESS  71
011101111   18   28   40   35   44   30   35   42 17.535417 0.024992 SUCCESS  72
011111111   30   21   43   33   17   30   41   39 19.585922 0.012021 SUCCESS  73
100000000   20   30   31   20   36   32   39   27 12.358649 0.135905 SUCCESS  74
100010000   27   39   31   13   27   32   39   32 16.468750 0.036142 SUCCESS  75
100100000   30   38   30   32   33   28   21   37  6.683902 0.571089 SUCCESS  76
100101000   28   44   38   32   30   34   32   30  6.735417 0.565430 SUCCESS  77
100110000   30   31   34   30   33   35   35   36  1.559659 0.991672 SUCCESS  78
100111000   31   31   37   26   24   34   34   30  4.483902 0.811042 SUCCESS  79
101000000   31   44   28   30   31   31   31   31  5.463699 0.707058 SUCCESS  80
101000100   32   40   30   24   24   29   26   26  8.928346 0.348377 SUCCESS  81
101001000   30   29   44   33   31   27   28   28  6.975821 0.539244 SUCCESS  82
101001100   25   25   32   44   31   41   28   31 11.023295 0.200383 SUCCESS  83
101010000   28   26   30   21   30   35   34   34  6.381881 0.604537 SUCCESS  84
101010100   35   31   31   31   41   40   32   33  5.125316 0.744102 SUCCESS  85
101011000   30   21   33   34   29   22   26   29  9.147538 0.330003 SUCCESS  86
101011100   25   27   42   42   37   32   31   34  9.840467 0.276402 SUCCESS  87
101100000   31   33   31   41   29   37   36   28  4.858649 0.772572 SUCCESS  88
101100100   28   24   40   32   28   23   39   37 10.176831 0.252833 SUCCESS  89
101101000   34   37   28   26   40   35   24   32  7.046528 0.531621 SUCCESS  90
101101100   33   35   37   33   27   28   31   40  4.598043 0.799546 SUCCESS  91
101110000   23   36   32   30   34   39   31   23  7.620265 0.471414 SUCCESS  92
101110100   45   28   24   37   34   29   23   26 13.048548 0.110190 SUCCESS  93
101111000   39   36   26   25   38   40   45   32 13.568750 0.093722 SUCCESS  94
101111100   39   33   25   31   31   36   26   28  5.455619 0.707952 SUCCESS  95
110000000   28   26   38   32   29   46   42   27 13.523295 0.095068 SUCCESS  96
110000010   31   45   31   46   26   35   32   33 13.372790 0.099651 SUCCESS  97
110000100   31   26   38   30   31   44   30   28  7.824306 0.450818 SUCCESS  98
110001000   31   34   24   12   28   31   32   25 17.253598 0.027574 SUCCESS  99
110001010   35   28   42   35   27   27   22   37  9.984912 0.266087 SUCCESS 100
110010000   29   29   33   37   35   30   23   43  8.374811 0.397740 SUCCESS 101
110010010   31   30   35   32   25   25   36   28  4.640467 0.795221 SUCCESS 102
110010100   32   36   36   43   23   30   24   34  9.892992 0.272617 SUCCESS 103
110011000   37   32   35   36   25   33   32   34  3.369760 0.909059 SUCCESS 104
110011010   24   43   35   31   34   21   36   38 12.030366 0.149854 SUCCESS 105
110100000   35   35   27   36   30   31   33   33  2.137437 0.976506 SUCCESS 106
110100010   29   29   27   30   26   25   22   34  7.594003 0.474099 SUCCESS 107
110100100   41   37   29   41   31   31   29   27  7.509154 0.482822 SUCCESS 108
110101000   31   29   30   25   39   25   31   28  5.735417 0.676841 SUCCESS 109
110101010   27   32   28   33   42   41   40   37 10.109154 0.257448 SUCCESS 110
110101100   34   32   38   33   34   22   38   31  5.888952 0.659669 SUCCESS 111
110110000   28   36   24   38   27   34   37   35  6.306124 0.612983 SUCCESS 112
110110010   44   25   32   37   31   24   37   37 10.774811 0.214788 SUCCESS 113
110110100   35   32   31   30   30   39   30   34  2.429356 0.964944 SUCCESS 114
110111000   29   29   28   23   35   37   40   31  6.913194 0.546027 SUCCESS 115
110111010   40   23   27   39   34   28   20   32 12.366730 0.135576 SUCCESS 116
110111100   30   36   36   37   35   43   37   36  7.533396 0.480322 SUCCESS 117
111000000   25   23   29   28   30   46   36   30 12.112184 0.146268 SUCCESS 118
111000010   29   34   40   31   47   47   37   28 18.429356 0.018228 SUCCESS 119
111000100   24   34   24   14   29   30   30   31 15.280871 0.053909 SUCCESS 120
111000110   31   23   32   33   29   27   27   33  4.601073 0.799238 SUCCESS 121
111001000   33   35   29   30   27   29   35   30  2.254609 0.972194 SUCCESS 122
111001010   33   33   37   42   22   26   25   35 10.372790 0.239829 SUCCESS 123
111001100   37   30   29   31   39   36   27   38  5.344508 0.720200 SUCCESS 124
111010000   33   35   27   36   26   38   44   28  9.158649 0.329090 SUCCESS 125
111010010   38   34   37   31   32   21   38   35  7.509154 0.482822 SUCCESS 126
111010100   35   35   33   34   43   27   28   33  6.024306 0.644509 SUCCESS 127
111010110   36   25   31   38   31   23   27   34  6.873801 0.550308 SUCCESS 128
111011000   30   34   27   36   34   33   36   23  4.877841 0.770549 SUCCESS 129
111011010   35   35   36   34   31   35   25   38  4.312184 0.827916 SUCCESS 130
111011100   42   25   34   27   37   33   40   34  8.808144 0.358738 SUCCESS 131
111100000   30   29   30   38   27   35   35   31  3.134407 0.925642 SUCCESS 132
111100010   35   36   24   21   34   32   30   31  7.065720 0.529559 SUCCESS 133
111100100   25   33   23   34   24   32   38   25  9.157639 0.329173 SUCCESS 134
111100110   32   34   23   42   37   31   33   45 12.336427 0.136813 SUCCESS 135
111101000   30   34   20   40   23   31   40   26 12.852588 0.117023 SUCCESS 136
111101010   24   29   32   40   45   30   29   31 10.347538 0.241475 SUCCESS 137
111101100   40   34   33   37   24   23   42   31 10.998043 0.201810 SUCCESS 138
111101110   36   35   39   24   41   35   34   44 12.185922 0.143099 SUCCESS 139
111110000   32   29   41   34   30   33   29   31  3.526326 0.897137 SUCCESS 140
111110010   30   31   22   40   25   36   33   38  8.758649 0.363063 SUCCESS 141
111110100   27   36   25   34   31   24   46   35 11.767740 0.161871 SUCCESS 142
111110110   40   36   34   38   20   32   34   23 11.281881 0.186233 SUCCESS 143
111111000   29   33   37   39   34   33   26   32  4.047538 0.852809 SUCCESS 144
111111010   22   23   29   35   31   25   42   37 12.076831 0.147809 SUCCESS 145
111111100   31   33   37   27   22   28   39   41  9.634407 0.291629 SUCCESS 146
111111110   30   21   43   33   17   30   41   39 19.585922 0.012021 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 31.984375	M = 16384	N = 8	m = 9	n = 131072
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   36   37   34   29   36   31   38   32  3.475821 0.901058 SUCCESS   0
000000011   27   34   32   39   35   34   38   29  4.408144 0.818551 SUCCESS   1
000000101   36   37   29   33   41   37   26   34  6.384912 0.604200 SUCCESS   2
000000111   27   37   33   40   38   41   25   35  9.394003 0.310156 SUCCESS   3
000001001   44   26   31   25   34   24   28   34 10.268750 0.246668 SUCCESS   4
000001011   36   28   36   27   40   29   42   35  8.259659 0.408526 SUCCESS   5
000001101   31   34   40   34   27   25   42   28  8.506124 0.385653 SUCCESS   6
000001111   23   38   28   25   27   35   25   30  8.669760 0.370916 SUCCESS   7
000010001   32   20   21   27   38   46   34   29 17.283902 0.027285 SUCCESS   8
000010011   40   29   32   18   39   28   25   29 12.654609 0.124299 SUCCESS   9
000010101   25   29   43   27   29   24   35   30  9.359659 0.312870 SUCCESS  10
