		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.960938	M = 500	N = 8	m = 9	n = 4000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    0    0    2    1    3    1    3 11.912016 0.155173 SUCCESS   0
000000011    1    0    1    1    0    3    0    2  8.486271 0.387466 SUCCESS   1
000000101    0    2    0    1    1    0    2    2  6.367935 0.606091 SUCCESS   2
000000111    1    0    0    0    0    2    2    2  7.344356 0.499975 SUCCESS   3
000001001    1    1    1    2    2    1    1    0  3.273180 0.916063 SUCCESS   4
000001011    0    1    1    2    1    1    2    2  4.415095 0.817866 SUCCESS   5
000001101    1    0    1    0    0    1    0    3  8.320776 0.402779 SUCCESS   6
000001111    1    0    1    0    1    1    1    1  1.965770 0.982043 SUCCESS   7
000010001    1    1    1    0    3    2    1    1  6.533430 0.587702 SUCCESS   8
000010011    1    2    1    1    4    3    1    1 15.337762 0.052901 SUCCESS   9
000010101    1    2    1    0    0    0    2    2  6.367935 0.606091 SUCCESS  10
000010111    0    0    3    2    1    3    3    1 16.314182 0.038098 SUCCESS  11
000011001    0    0    0    1    1    0    0    1  4.895030 0.768734 SUCCESS  12
000011011    0    2    1    0    0    0    1    1  5.060525 0.751088 SUCCESS  13
000011101    3    0    1    0    0    1    2    3 12.888436 0.115746 SUCCESS  14
000011111    1    1    1    0    1    1    0    0  2.942190 0.937933 SUCCESS  15
000100011    0    1    3    0    1    2    0    1  8.486271 0.387466 SUCCESS  16
000100101    0    1    1    3    1    1    2    0  7.509851 0.482750 SUCCESS  17
000100111    2    2    0    1    1    0    0    0  6.202440 0.624567 SUCCESS  18
000101001    2    1    0    2    2    0    2    0  7.509851 0.482750 SUCCESS  19
000101011    4    4    1    0    2    0    0    2 24.787523 0.001689 FAILURE  20
000101101    0    1    1    1    0    1    2    1  3.107685 0.927419 SUCCESS  21
000101111    1    0    3    2    1    3    0    1 11.912016 0.155173 SUCCESS  22
000110011    0    3    0    1    0    1    0    1  8.320776 0.402779 SUCCESS  23
000110101    1    0    1    0    2    1    0    2  5.226020 0.733168 SUCCESS  24
000110111    0    1    2    1    0    0    1    1  4.084105 0.849457 SUCCESS  25
000111001    0    1    1    0    0    0    3    1  8.320776 0.402779 SUCCESS  26
000111011    3    0    1    1    0    2    0    2  9.628186 0.292098 SUCCESS  27
000111101    0    0    0    0    0    2    2    0  8.155281 0.418451 SUCCESS  28
000111111    1    5    1    0    1    1    0    0 20.219863 0.009535 FAILURE  29
001000011    1    1    0    0    1    0    0    2  5.060525 0.751088 SUCCESS  30
001000101    2    1    1    1    5    1    0    0 20.385358 0.008972 FAILURE  31
001000111    0    1    2    1    0    2    0    0  6.202440 0.624567 SUCCESS  32
001001011    1    0    1    3    1    0    0    1  7.344356 0.499975 SUCCESS  33
001001101    0    0    1    0    2    2    1    4 15.006772 0.059014 SUCCESS  34
001001111    2    1    0    0    2    1    0    0  6.202440 0.624567 SUCCESS  35
001010011    0    1    1    2    2    0    0    0  6.202440 0.624567 SUCCESS  36
001010101    0    3    2    2    0    1    1    0  9.628186 0.292098 SUCCESS  37
001010111    2    2    2    2    1    0    3    2 11.101091 0.196037 SUCCESS  38
001011011    0    1    2    1    0    0    1    2  5.226020 0.733168 SUCCESS  39
001011101    2    0    0    1    1    3    4    1 17.290602 0.027221 SUCCESS  40
001011111    1    0    0    1    1    0    1    1  2.942190 0.937933 SUCCESS  41
001100101    0    0    0    5    1    0    0    0 23.149123 0.003178 FAILURE  42
001100111    1    2    1    0    3    0    0    0  9.462691 0.304778 SUCCESS  43
001101011    1    0    0    0    1    2    0    2  6.202440 0.624567 SUCCESS  44
001101101    1    1    1    2    0    0    0    1  4.084105 0.849457 SUCCESS  45
001101111    0    1    1    1    0    0    0    1  3.918610 0.864391 SUCCESS  46
001110101    2    0    0    1    4    1    1    0 13.864857 0.085357 SUCCESS  47
001110111    2    0    1    3    2    1    0    1  8.651766 0.372518 SUCCESS  48
001111011    0    1    1    0    0    1    3    0  8.320776 0.402779 SUCCESS  49
001111101    0    1    2    1    1    0    0    0  5.060525 0.751088 SUCCESS  50
001111111    1    2    0    0    1    1    0    0  5.060525 0.751088 SUCCESS  51
010000011    1    0    1    2    0    1    0    0  5.060525 0.751088 SUCCESS  52
010000111    2    1    0    0    0    0    1    2  6.202440 0.624567 SUCCESS  53
