		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.984375	M = 512	N = 8	m = 9	n = 4096
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    0    0    0    1    2    1    3  8.276768 0.406912 SUCCESS   0
000000011    1    0    0    1    1    2    2    0  5.141414 0.742360 SUCCESS   1
000000101    0    0    0    2    0    1    1    2  6.143434 0.631169 SUCCESS   2
000000111    0    0    1    1    1    3    3    0 11.412121 0.179423 SUCCESS   3
000001001    2    2    0    1    1    2    1    1  4.204040 0.838261 SUCCESS   4
000001011    0    0    1    1    0    0    1    2  5.076768 0.749340 SUCCESS   5
000001101    0    1    0    0    2    1    0    0  6.078788 0.638407 SUCCESS   6
000001111    0    2    2    1    1    2    2    1  5.270707 0.728289 SUCCESS   7
000010001    1    1    1    0    1    0    0    1  3.008081 0.933849 SUCCESS   8
000010011    2    0    1    0    1    1    3    0  8.276768 0.406912 SUCCESS   9
000010101    2    0    0    0    0    0    0    1  7.080808 0.527940 SUCCESS  10
000010111    1    0    0    0    0    0    2    0  7.080808 0.527940 SUCCESS  11
000011001    1    1    0    1    0    1    0    0  4.010101 0.856211 SUCCESS  12
000011011    0    0    1    0    1    1    1    0  4.010101 0.856211 SUCCESS  13
000011101    0    0    1    1    2    0    1    0  5.076768 0.749340 SUCCESS  14
000011111    0    2    2    1    0    0    2    0  7.210101 0.514143 SUCCESS  15
000100011    2    0    1    0    1    2    0    0  6.143434 0.631169 SUCCESS  16
000100101    1    3    1    1    0    0    1    3 10.410101 0.237413 SUCCESS  17
000100111    2    1    0    1    0    2    3    2  9.408081 0.309048 SUCCESS  18
000101001    1    0    1    1    1    0    2    0  4.074747 0.850317 SUCCESS  19
000101011    3    2    1    2    0    1    0    1  8.341414 0.400850 SUCCESS  20
000101101    2    0    1    1    0    0    0    1  5.076768 0.749340 SUCCESS  21
000101111    0    0    1    0    0    0    2    1  6.078788 0.638407 SUCCESS  22
000110011    1    3    1    1    0    3    0    1 10.410101 0.237413 SUCCESS  23
000110101    1    1    0    0    2    2    2    3  9.408081 0.309048 SUCCESS  24
000110111    0    0    3    0    1    1    0    0  9.214141 0.324555 SUCCESS  25
000111001    2    0    1    0    0    1    0    2  6.143434 0.631169 SUCCESS  26
000111011    0    1    2    0    2    1    1    0  5.141414 0.742360 SUCCESS  27
000111101    1    2    0    1    0    2    0    2  6.208081 0.623936 SUCCESS  28
000111111    0    1    2    1    0    0    2    2  6.208081 0.623936 SUCCESS  29
001000011    1    0    0    0    2    0    0    1  6.078788 0.638407 SUCCESS  30
001000101    2    1    1    0    1    1    1    3  6.272727 0.616712 SUCCESS  31
001000111    2    2    0    1    0    0    1    0  6.143434 0.631169 SUCCESS  32
001001011    0    3    1    2    1    0    0    2  9.343434 0.314158 SUCCESS  33
001001101    0    0    0    3    0    0    2    0 11.282828 0.186183 SUCCESS  34
001001111    1    0    1    1    0    3    3    1 10.410101 0.237413 SUCCESS  35
001010011    2    1    3    1    1    1    1    0  6.272727 0.616712 SUCCESS  36
001010101    1    1    0    0    2    2    1    1  4.139394 0.844333 SUCCESS  37
001010111    3    1    2    2    0    0    1    1  8.341414 0.400850 SUCCESS  38
001011011    3    0    2    2    0    1    1    0  9.343434 0.314158 SUCCESS  39
001011101    3    1    0    1    1    0    0    0  8.212121 0.413029 SUCCESS  40
001011111    1    1    1    0    2    0    0    0  5.076768 0.749340 SUCCESS  41
001100101    4    2    1    1    4    0    1    0 21.884848 0.005134 FAILURE  42
001100111    1    1    2    1    0    4    1    1 11.476768 0.176120 SUCCESS  43
