		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.960938	M = 500	N = 8	m = 9	n = 4000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    1    0    0    1    0    0    0  4.895030 0.768734 SUCCESS   0
000000011    1    1    0    0    1    1    1    0  2.942190 0.937933 SUCCESS   1
000000101    2    1    0    0    2    0    0    2  7.344356 0.499975 SUCCESS   2
000000111    1    2    1    2    1    0    0    1  4.249600 0.833931 SUCCESS   3
000001001    1    0    0    1    1    0    0    1  3.918610 0.864391 SUCCESS   4
000001011    1    1    0    0    2    0    2    3  9.628186 0.292098 SUCCESS   5
000001101    3    1    1    1    0    0    1    0  7.344356 0.499975 SUCCESS   6
000001111    1    1    4    0    1    0    0    1 12.722941 0.121745 SUCCESS   7
000010001    0    1    0    0    1    1    0    0  4.895030 0.768734 SUCCESS   8
000010011    0    1    0    2    0    0    0    1  6.036945 0.643093 SUCCESS   9
000010101    1    1    1    0    1    3    2    0  7.509851 0.482750 SUCCESS  10
000010111    0    1    1    0    2    0    0    2  6.202440 0.624567 SUCCESS  11
000011001    3    0    3    1    1    4    2    1 20.716347 0.007940 FAILURE  12
000011011    1    1    0    1    0    1    1    0  2.942190 0.937933 SUCCESS  13
000011101    0    1    3    2    2    3    0    1 13.053931 0.110007 SUCCESS  14
000011111    0    1    2    0    1    0    0    1  5.060525 0.751088 SUCCESS  15
000100011    0    2    0    0    0    1    0    1  6.036945 0.643093 SUCCESS  16
000100101    1    0    0    1    0    0    0    1  4.895030 0.768734 SUCCESS  17
000100111    2    1    1    3    0    0    0    1  8.486271 0.387466 SUCCESS  18
000101001    1    0    0    0    1    2    0    2  6.202440 0.624567 SUCCESS  19
000101011    0    1    0    0    0    0    0    1  5.871451 0.661629 SUCCESS  20
000101101    1    1    0    0    1    0    3    3 11.746521 0.162877 SUCCESS  21
000101111    0    1    0    1    2    0    1    2  5.226020 0.733168 SUCCESS  22
000110011    2    0    3    0    0    2    3    0 15.006772 0.059014 SUCCESS  23
000110101    1    0    0    0    0    0    0    2  7.013366 0.535191 SUCCESS  24
000110111    1    0    1    0    0    1    0    0  4.895030 0.768734 SUCCESS  25
000111001    0    1    0    1    1    3    0    1  7.344356 0.499975 SUCCESS  26
000111011    0    0    1    2    0    2    1    2  6.367935 0.606091 SUCCESS  27
000111101    3    3    3    0    0    0    2    1 17.290602 0.027221 SUCCESS  28
000111111    1    2    2    0    0    0    1    1  5.226020 0.733168 SUCCESS  29
001000011    0    1    2    4    2    1    0    1 14.030352 0.080978 SUCCESS  30
001000101    0    1    0    0    3    1    2    0  9.462691 0.304778 SUCCESS  31
001000111    0    2    1    0    1    2    0    0  6.202440 0.624567 SUCCESS  32
001001011    0    2    1    2    1    0    1    2  5.391515 0.715027 SUCCESS  33
001001101    3    2    1    0    1    1    0    1  7.509851 0.482750 SUCCESS  34
001001111    1    1    1    3    1    0    1    1  5.391515 0.715027 SUCCESS  35
001010011    1    0    0    0    1    1    0    0  4.895030 0.768734 SUCCESS  36
001010101    3    1    0    0    3    2    1    1 11.912016 0.155173 SUCCESS  37
001010111    0    1    0    1    1    0    2    2  5.226020 0.733168 SUCCESS  38
