		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.882812	M = 972	N = 8	m = 9	n = 7776
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    2    0    2    1    3    0    2  5.414607 0.712481 SUCCESS   0
000000011    2    2    2    2    3    3    2    3  2.077466 0.978544 SUCCESS   1
000000101    1    3    4    1    1    2    1    1  5.252858 0.730240 SUCCESS   2
000000111    2    1    2    1    2    2    4    2  3.328894 0.912056 SUCCESS   3
000001001    3    1    4    3    1    1    0    3  7.687609 0.464565 SUCCESS   4
000001011    2    1    1    2    1    2    5    1  7.015073 0.535007 SUCCESS   5
000001101    0    3    2    2    2    4    3    3  6.436181 0.598495 SUCCESS   6
000001111    2    1    1    0    2    2    1    1  3.652392 0.887046 SUCCESS   7
000010001    1    2    3    5    2    0    4    0 12.718859 0.121896 SUCCESS   8
000010011    6    1    3    2    0    0    0    1 16.566787 0.034950 SUCCESS   9
000010101    4    4    2    3    2    1    2    4  8.453789 0.390443 SUCCESS  10
000010111    0    2    0    1    2    3    6    0 16.149645 0.040288 SUCCESS  11
000011001    2    4    1    0    6    1    4    1 17.332968 0.026823 SUCCESS  12
000011011    0    2    2    3    1    4    5    1 11.212038 0.189972 SUCCESS  13
000011101    1    3    0    2    3    0    3    1  6.759679 0.562770 SUCCESS  14
000011111    1    1    1    1    1    4    1    0  6.921428 0.545133 SUCCESS  15
000100011    2    1    1    5    2    0    5    0 15.315359 0.053296 SUCCESS  16
000100101    3    3    2    2    4    4    0    1  8.615538 0.375759 SUCCESS  17
000100111    2    1    3    0    1    0    0    4  9.773322 0.281298 SUCCESS  18
000101001    1    1    5    3    2    2    1    3  7.943002 0.439058 SUCCESS  19
000101011    4    3    3    2    1    1    1    2  5.091109 0.747795 SUCCESS  20
000101101    2    0    1    1    0    5    4    0 14.387430 0.072210 SUCCESS  21
000101111    1    2    2    0    1    0    5    3 10.701251 0.219208 SUCCESS  22
000110011    2    4    2    0    6    0    2    1 15.987895 0.042554 SUCCESS  23
000110101    4    2    1    2    2    1    1    4  6.180787 0.626989 SUCCESS  24
000110111    1    0    3    2    1    2    3    2  4.163179 0.842109 SUCCESS  25
000111001    1    0    3    2    0    2    6    3 14.898217 0.061155 SUCCESS  26
000111011    0    1    0    2    2    2    2    3  4.997464 0.757847 SUCCESS  27
000111101    1    2    1    3    1    1    3    1  3.490643 0.899915 SUCCESS  28
000111111    2    0    2    2    1    5    1    0 10.028715 0.263016 SUCCESS  29
001000011    1    1    1    1    1    2    2    2  2.145571 0.976221 SUCCESS  30
001000101    1    2    3    3    2    0    0    1  6.087143 0.637471 SUCCESS  31
001000111    2    1    0    4    2    2    4    0  9.194430 0.326161 SUCCESS  32
001001011    3    2    3    0    5    5    1    1 14.736468 0.064477 SUCCESS  33
001001101    5    2    3    2    1    1    2    1  7.270466 0.507752 SUCCESS  34
001001111    1    0    3    2    1    0    1    5 11.118394 0.195081 SUCCESS  35
001010011    2    2    5    2    1    1    0    0 10.028715 0.263016 SUCCESS  36
001010101    1    5    3    1    3    3    2    2  8.198395 0.414334 SUCCESS  37
001010111    1    3    2    2    2    2    1    2  1.566679 0.991544 SUCCESS  38
001011011    6    3    2    2    0    5    3    0 19.767718 0.011251 SUCCESS  39
001011101    0    0    0    3    1    1    3    1  8.428250 0.392793 SUCCESS  40
001011111    3    3    3    0    4    2    4    2  8.870932 0.353301 SUCCESS  41
001100101    1    1    3    2    1    2    2    1  2.400964 0.966189 SUCCESS  42
001100111    2    1    3    1    6    2    1    0 13.136002 0.107255 SUCCESS  43
001101011    4    4    2    1    3    0    1    2  8.360145 0.399104 SUCCESS  44
001101101    4    4    0    1    0    2    2    2  9.194430 0.326161 SUCCESS  45
001101111    1    1    1    4    2    2    3    2  4.418573 0.817523 SUCCESS  46
