		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4.867188	M = 2500	N = 8	m = 9	n = 20000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    5    9    5    4    4    6    3  5.693130 0.681562 SUCCESS   0
000000011    6    2   11    7    8    4    1    3 17.089112 0.029194 SUCCESS   1
000000101    5    3    3    3    4    6    8    5  4.733259 0.785668 SUCCESS   2
000000111    3    5    7    4    6    2    6    7  5.113897 0.745336 SUCCESS   3
000001001    2    5    5    4    4    6    1    3  6.245883 0.619711 SUCCESS   4
000001011    2    3    5    4    6    6    5    4  3.349721 0.910535 SUCCESS   5
000001101    6    7    8    6    7    4    0    4  9.886772 0.273063 SUCCESS   6
000001111    5    8    9    4    3    6    2    7  9.575641 0.296082 SUCCESS   7
000010001    5    5    7    5    5    3    2    2  5.199955 0.736007 SUCCESS   8
000010011    3    5    4    5    3    4    5    1  4.974882 0.760257 SUCCESS   9
000010101    7    3    2    0    6    3    8    4 11.710526 0.164594 SUCCESS  10
000010111    1    2    7    2    7    4    4    8 10.975728 0.203078 SUCCESS  11
000011001    6    6    4    5    5    8    4    9  6.566943 0.583992 SUCCESS  12
000011011    6    5    2    5    4    3    6    2  4.931853 0.764834 SUCCESS  13
000011101    4    4   10    7    3    4    5    3  8.503234 0.385917 SUCCESS  14
000011111    3   11   10    6    3    4    4    4 15.775082 0.045715 SUCCESS  15
000100011    3    4    3    4    7    6    4    2  4.931853 0.764834 SUCCESS  16
000100101    7    4    6    7    4    9    2    4  8.036538 0.429909 SUCCESS  17
000100111    6    5    5    8    5    2    5    3  4.845796 0.773923 SUCCESS  18
000101001    3    3    2    4    5    5    7    4  4.508186 0.808614 SUCCESS  19
000101011    8    1    4    4    6    5    3    4  6.739058 0.565030 SUCCESS  20
000101101    4    4    7    8    2    4    4    9  9.039438 0.338980 SUCCESS  21
000101111    5    5    5    1    8    4    6    7  6.653000 0.574491 SUCCESS  22
000110011    6    5    3    2    6    5    2    6  5.044389 0.752821 SUCCESS  23
000110101    5    7    7    6    9    6    4    5  6.255813 0.618601 SUCCESS  24
000110111   10   10    4    4    3    2    5    2 15.705574 0.046793 SUCCESS  25
000111001    6    5    4    5    7    1    4    5  4.733259 0.785668 SUCCESS  26
000111011    7    3    7    5    6    5    4    2  4.845796 0.773923 SUCCESS  27
000111101    3    3    4    5    5    9    5    4  5.425028 0.711331 SUCCESS  28
000111111    4    9    7    8    4    4    1    3 11.045236 0.199149 SUCCESS  29
001000011    7    6    3    8    3    6    4   12 16.000155 0.042378 SUCCESS  30
001000101    7    5    9    4    8    7    3    7  9.489584 0.302691 SUCCESS  31
001000111    3    4    4    5    9    3    2    1 10.326988 0.242821 SUCCESS  32
001001011    7    5    5    3    5   10    2    3  9.774235 0.281231 SUCCESS  33
001001101    2    3    1    1    4    4    6    2 11.147843 0.193462 SUCCESS  34
001001111    6    3    2    6    5    2    4    4  5.087418 0.748193 SUCCESS  35
001010011    4    1    2    3    3    5    7    5  7.516884 0.482024 SUCCESS  36
001010101   11    8    2    4    2    9    8    7 20.349362 0.009092 FAILURE  37
001010111    6    3    5    4    4    5    0    4  6.513985 0.589857 SUCCESS  38
