		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 7.984375	M = 4096	N = 8	m = 9	n = 32768
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    7    7   12    9    3   13    6    7  9.567929 0.296670 SUCCESS   0
000000011   10    7    5   10   10    8    7    7  3.103283 0.927710 SUCCESS   1
000000101    5   10   11    7    2   19    6   10 24.331566 0.002016 FAILURE   2
000000111   10    7    9    9   10   15    6   13 11.567929 0.171548 SUCCESS   3
000001001    9    8   10    5    8    8    6    8  2.319444 0.969620 SUCCESS   4
000001011    7    6    6    7    2   10   12    7  8.634596 0.374052 SUCCESS   5
000001101   10    6   13   14    9    5    4    4 14.355808 0.072950 SUCCESS   6
000001111   11   12   12    8    8    7    8   10  5.996212 0.647656 SUCCESS   7
000010001    4    7    8    7    5    7   13    3 10.044697 0.261903 SUCCESS   8
000010011   11   10    7    6    5    8    1    8  9.794192 0.279769 SUCCESS   9
000010101    6    7   12    6    6   15    7   12 12.311364 0.137843 SUCCESS  10
000010111   13    2    3    3    5   10    9    9 16.250758 0.038928 SUCCESS  11
000011001    9    4    7   12    4    5    5    6  9.260859 0.320771 SUCCESS  12
000011011   12    3    9   12    9    7    4    5 10.978030 0.202947 SUCCESS  13
000011101    4    6    9    9    8   13   11   14 11.935606 0.154100 SUCCESS  14
000011111   11    7   10    7   13   10    9    7  5.988131 0.648561 SUCCESS  15
000100011    7    9    5    3    7   13   14    3 15.891162 0.043965 SUCCESS  16
000100101    8    7   11   12   11    5    7   10  6.363889 0.606541 SUCCESS  17
000100111    8    9    6    7    9    4    4    7  5.131566 0.743426 SUCCESS  18
000101001    9    6   12    7    6    6   15    8 10.234596 0.248945 SUCCESS  19
000101011    6   11    5   14    8   12    6    9 10.242677 0.248405 SUCCESS  20
000101101    7   15    5    5    5    7   16    5 19.527525 0.012279 SUCCESS  21
000101111   10    6    5    5    5   10   10   10  6.064899 0.639962 SUCCESS  22
000110011    9    8    4   12    9    6   12   11  8.173990 0.416662 SUCCESS  23
000110101   14    8    7   10    8    6    7    7  6.089141 0.637247 SUCCESS  24
000110111   10    8    8    7   10   11    9    8  2.485101 0.962422 SUCCESS  25
000111001    7    9    6   13   11    7    7    7  5.571970 0.695054 SUCCESS  26
000111011    5    3    7   11   13   13    9   13 15.555808 0.049198 SUCCESS  27
000111101    9   11    8    7   13    8    8   10  5.212374 0.734655 SUCCESS  28
000111111    8    4   10    7   10   11    5   11  6.731566 0.565852 SUCCESS  29
001000011    7    8    9    9   14    6    5    3  9.943687 0.269001 SUCCESS  30
001000101    3    4    8    8    6    9    9    2 10.670960 0.221049 SUCCESS  31
001000111   12   10    2    6    7   12   12    4 14.097222 0.079266 SUCCESS  32
001001011    7    8    8   13    7    7    7    8  3.753788 0.878626 SUCCESS  33
001001101   14    8   15    7   10    7    5    4 15.022475 0.058710 SUCCESS  34
001001111    5   10    5    8   10    5    5    8  5.656818 0.685611 SUCCESS  35
001010011    9    4   10    7    3    5    8    5  8.351768 0.399884 SUCCESS  36
001010101    4    8    8   11    8    7    5    9  4.638636 0.795408 SUCCESS  37
001010111    8    8    7   10   10    8    2   12  7.891162 0.444173 SUCCESS  38
001011011    6   11    6   11    6    7   15    4 12.420455 0.133407 SUCCESS  39
001011101   14   16   10   12    6   10   13    6 20.392172 0.008950 FAILURE  40
001011111    8    6    6    8    6    7    9    7  1.911364 0.983610 SUCCESS  41
001100101    5   11    5    7   10    7    9    9  4.521465 0.807282 SUCCESS  42
001100111    9    5    4    7   10    5   11   13  9.567929 0.296670 SUCCESS  43
001101011   17    4    5   10    6    7    9    6 15.515404 0.049865 SUCCESS  44
001101101    5    3   10   12    4    4   10    6 12.113384 0.146216 SUCCESS  45
001101111   10    8    5    3   13    9   11   13 12.703283 0.122475 SUCCESS  46
001110101    5    9   10    3   10   10    9    6  6.715404 0.567626 SUCCESS  47
001110111    8    3    7    7   15   11    7   11 12.303283 0.138176 SUCCESS  48
001111011   10   10    2    6    9    5    9   14 12.287121 0.138846 SUCCESS  49
001111101    8    9    6   10    5    3    4    6  8.093182 0.424421 SUCCESS  50
001111111    5   14    7    6    8    7    6   10  7.624495 0.470982 SUCCESS  51
010000011   11    6    9   10   10    9    7    9  3.260859 0.916937 SUCCESS  52
010000111    5    8    9    6   10    9   10    6  3.487121 0.900187 SUCCESS  53
010001011    6    9    9    7    9    3   12    3  9.543687 0.298524 SUCCESS  54
010001111    5    6    7    5    8    8    9    8  3.070960 0.929826 SUCCESS  55
010010011    4   11   12    5   12    5    8    9  9.834596 0.276828 SUCCESS  56
010010111   12    5    8   11    9   10    6    8  5.580051 0.694156 SUCCESS  57
010011011    7    5   12    8   11    9    7    7  4.921465 0.765936 SUCCESS  58
