		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.296875	M = 160	N = 8	m = 9	n = 1280
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    0    1    0  3.678384 0.884913 SUCCESS   0
000000011    0    0    0    0    0    0    0    0  2.333737 0.969034 SUCCESS   1
000000101    0    0    0    1    0    0    0    0  3.678384 0.884913 SUCCESS   2
000000111    0    0    0    0    1    0    1    0  5.023030 0.755112 SUCCESS   3
000001001    0    1    0    1    0    0    1    1  7.712323 0.462064 SUCCESS   4
000001011    0    0    0    1    0    0    0    0  3.678384 0.884913 SUCCESS   5
000001101    0    0    0    0    0    1    0    1  5.023030 0.755112 SUCCESS   6
000001111    1    0    0    0    1    0    1    0  6.367677 0.606119 SUCCESS   7
000010001    0    0    0    1    0    0    0    0  3.678384 0.884913 SUCCESS   8
000010011    0    0    0    1    0    1    1    1  7.712323 0.462064 SUCCESS   9
000010101    2    0    0    0    0    0    0    0 11.642828 0.167865 SUCCESS  10
000010111    0    0    2    0    0    0    0    0 11.642828 0.167865 SUCCESS  11
000011001    0    1    0    0    0    1    0    0  5.023030 0.755112 SUCCESS  12
000011011    0    0    1    0    0    1    0    0  5.023030 0.755112 SUCCESS  13
000011101    1    1    1    1    0    0    0    0  7.712323 0.462064 SUCCESS  14
000011111    1    0    0    0    0    0    1    0  5.023030 0.755112 SUCCESS  15
000100011    0    0    0    1    0    0    1    0  5.023030 0.755112 SUCCESS  16
000100101    0    0    0    0    0    0    0    0  2.333737 0.969034 SUCCESS  17
000100111    0    0    1    2    1    1    0    2 24.985859 0.001563 FAILURE  18
000101001    1    1    0    0    0    0    0    1  6.367677 0.606119 SUCCESS  19
000101011    0    0    0    0    0    1    0    0  3.678384 0.884913 SUCCESS  20
000101101    0    0    0    0    1    0    0    0  3.678384 0.884913 SUCCESS  21
000101111    0    0    1    0    0    0    0    1  5.023030 0.755112 SUCCESS  22
000110011    0    2    0    0    0    1    0    0 12.987475 0.112281 SUCCESS  23
000110101    0    0    1    1    1    0    0    2 15.676768 0.047247 SUCCESS  24
000110111    0    0    0    0    0    1    1    0  5.023030 0.755112 SUCCESS  25
000111001    0    0    0    0    0    0    0    0  2.333737 0.969034 SUCCESS  26
000111011    0    1    1    0    0    1    0    0  6.367677 0.606119 SUCCESS  27
000111101    1    0    1    0    1    0    1    0  7.712323 0.462064 SUCCESS  28
000111111    0    0    0    1    0    0    1    1  6.367677 0.606119 SUCCESS  29
001000011    0    0    2    0    0    0    0    0 11.642828 0.167865 SUCCESS  30
001000101    0    0    0    0    0    0    1    1  5.023030 0.755112 SUCCESS  31
001000111    0    1    0    1    0    1    0    0  6.367677 0.606119 SUCCESS  32
001001011    0    0    0    0    1    0    0    0  3.678384 0.884913 SUCCESS  33
001001101    0    0    0    1    0    1    0    0  5.023030 0.755112 SUCCESS  34
001001111    0    0    0    1    0    2    0    1 14.332121 0.073509 SUCCESS  35
001010011    1    1    0    0    0    0    0    0  5.023030 0.755112 SUCCESS  36
001010101    1    0    0    0    1    0    0    0  5.023030 0.755112 SUCCESS  37
001010111    0    0    0    0    0    1    0    0  3.678384 0.884913 SUCCESS  38
001011011    0    0    0    0    1    0    0    0  3.678384 0.884913 SUCCESS  39
001011101    0    0    1    0    0    0    1    0  5.023030 0.755112 SUCCESS  40
001011111    0    1    0    0    0    0    0    0  3.678384 0.884913 SUCCESS  41
001100101    0    1    0    0    0    0    1    1  6.367677 0.606119 SUCCESS  42
001100111    1    2    0    0    0    1    0    1 15.676768 0.047247 SUCCESS  43
001101011    0    0    1    1    1    1    0    1  9.056970 0.337513 SUCCESS  44
001101101    0    0    0    0    0    0    1    0  3.678384 0.884913 SUCCESS  45
001101111    0    0    0    0    0    1    0    0  3.678384 0.884913 SUCCESS  46
001110101    1    0    1    0    0    0    0    0  5.023030 0.755112 SUCCESS  47
001110111    0    2    0    0    0    0    0    0 11.642828 0.167865 SUCCESS  48
001111011    2    0    1    0    1    1    0    1 17.021414 0.029887 SUCCESS  49
001111101    1    0    0    0    0    1    0    0  5.023030 0.755112 SUCCESS  50
001111111    0    1    0    0    0    0    0    1  5.023030 0.755112 SUCCESS  51
010000011    1    1    1    0    0    0    0    0  6.367677 0.606119 SUCCESS  52
010000111    0    0    0    1    0    0    0    0  3.678384 0.884913 SUCCESS  53
010001011    0    0    0    0    0    0    1    1  5.023030 0.755112 SUCCESS  54
010001111    0    0    0    1    0    0    0    0  3.678384 0.884913 SUCCESS  55
010010011    0    1    0    0    0    1    0    0  5.023030 0.755112 SUCCESS  56
010010111    0    1    0    0    1    0    1    0  6.367677 0.606119 SUCCESS  57
010011011    0    0    0    0    0    0    0    0  2.333737 0.969034 SUCCESS  58
010011111    0    0    0    1    0    1    0    0  5.023030 0.755112 SUCCESS  59
010100011    0    1    0    0    0    0    0    1  5.023030 0.755112 SUCCESS  60
010100111    0    0    0    0    0    0    0    0  2.333737 0.969034 SUCCESS  61
010101011    1    0    0    0    0    0    0    0  3.678384 0.884913 SUCCESS  62
010101111    1    0    0    0    0    1    0    0  5.023030 0.755112 SUCCESS  63
010110011    0    0    0    1    0    0    1    0  5.023030 0.755112 SUCCESS  64
