		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.664062	M = 1372	N = 8	m = 9	n = 10976
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    4    3    4    3    4    2    4  4.081774 0.849671 SUCCESS   0
000000011    2    5    1    6    1    4    4    5 12.193680 0.142769 SUCCESS   1
000000101    2    4    3    0    2    2    3    1  5.095008 0.747375 SUCCESS   2
000000111    5    2    3    5    2    6    6    5 15.293695 0.053680 SUCCESS   3
000001001    2    4    5    2    2    4    2    1  5.233725 0.732328 SUCCESS   4
000001011    2    2    4    2    2    3    2    1  2.652390 0.954246 SUCCESS   5
000001101    1    3    4    1    2    1    5    0  8.954949 0.346111 SUCCESS   6
000001111    4    2    1    6    0    7    4    2 17.078917 0.029298 SUCCESS   7
000010001    2    2    2    2    3    6    5    5  9.232382 0.323073 SUCCESS   8
000010011    7    1    4    0    3    3    2    0 14.750891 0.064174 SUCCESS   9
000010101    0    2    2    4    1    5    4    3  7.676344 0.465707 SUCCESS  10
000010111    1    4    2    3    3    1    3    2  3.297724 0.914309 SUCCESS  11
000011001    3    5    2    3    1    3    1    3  4.588391 0.800526 SUCCESS  12
000011011    4    2    2    1    4    2    3    4  3.689749 0.883975 SUCCESS  13
000011101    6    1    2    4    3    2    4    1  8.195023 0.414655 SUCCESS  14
000011111    3    4    2    3    4    5    0    2  6.651047 0.574706 SUCCESS  15
000100011    3    1    3    3    3    4    2    6  6.397738 0.602771 SUCCESS  16
000100101    1    5    0    4    2    2    4    2  7.802998 0.452947 SUCCESS  17
000100111    5    2    3    4    2    4    4    3  4.600454 0.799301 SUCCESS  18
000101001    4    2    0    4    1    1    2    1  7.664281 0.466932 SUCCESS  19
000101011    0    1    3    5    2    5    4    1  9.992308 0.265566 SUCCESS  20
000101101    2    2    3    3    1    3    0    3  4.323020 0.826867 SUCCESS  21
000101111    2    1    5    4    3    0    1    1  8.954949 0.346111 SUCCESS  22
000110011    2    6    2    6    2    1    1    4 11.928309 0.154431 SUCCESS  23
000110101    1    3    4    3    3    3    4    1  3.689749 0.883975 SUCCESS  24
000110111    6    2    4    0    2    3    1    5 11.282976 0.186175 SUCCESS  25
000111001    4    3    3    4    4    4    0    0  8.321677 0.402695 SUCCESS  26
000111011    5    2    4    3    6    0    3    4 10.776358 0.214696 SUCCESS  27
000111101    3    2    1    4    1    3    1    5  6.259022 0.618242 SUCCESS  28
