		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.671875	M = 864	N = 8	m = 9	n = 6912
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    3    0    2    3    3    0    0  9.530565 0.299531 SUCCESS   0
000000011    5    2    1    1    1    1    0    2  9.741264 0.283657 SUCCESS   1
000000101    3    4    3    5    2    1    2    2 12.748522 0.120800 SUCCESS   2
000000111    2    3    0    1    1    0    1    3  6.484998 0.593072 SUCCESS   3
000001001    0    1    2    3    3    3    0    2  7.078788 0.528156 SUCCESS   4
000001011    1    5    3    3    1    1    0    3 12.576132 0.127290 SUCCESS   5
000001101    4    2    3    2    1    2    1    1  5.431500 0.710617 SUCCESS   6
000001111    2    3    2    1    1    0    1    2  3.822522 0.872771 SUCCESS   7
000010001    2    1    4    0    1    3    3    1  8.093977 0.424344 SUCCESS   8
000010011    2    1    3    2    0    2    2    0  5.048410 0.752390 SUCCESS   9
000010101    1    0    1    2    1    0    1    3  5.680509 0.682970 SUCCESS  10
000010111    4    2    3    5    0    3    1    4 17.652076 0.023992 SUCCESS  11
000011001    3    1    1    3    1    2    0    1  5.048410 0.752390 SUCCESS  12
000011011    1    2    3    1    2    2    2    2  1.964534 0.982080 SUCCESS  13
000011101    1    3    2    1    0    2    2    2  3.611822 0.890340 SUCCESS  14
000011111    1    2    1    0    0    1    0    2  6.101908 0.635818 SUCCESS  15
000100011    3    2    0    0    1    3    3    2  7.078788 0.528156 SUCCESS  16
000100101    3    2    4    1    3    1    2    3  7.251178 0.509791 SUCCESS  17
000100111    0    0    1    1    0    2    2    1  6.101908 0.635818 SUCCESS  18
000101001    2    1    2    6    5    5    2    1 25.811897 0.001131 FAILURE  19
000101011    2    1    1    1    1    1    3    4  5.852899 0.663705 SUCCESS  20
000101101    2    4    1    1    0    1    1    1  6.484998 0.593072 SUCCESS  21
000101111    3    1    1    4    1    4    0    2 10.335054 0.242292 SUCCESS  22
000110011    3    1    1    4    1    1    0    1  7.500187 0.483748 SUCCESS  23
000110101    3    1    0    4    0    1    1    1  8.936775 0.347658 SUCCESS  24
000110111    0    1    1    2    2    0    3    4  8.515376 0.384810 SUCCESS  25
000111001    1    1    1    1    2    2    4    3  5.642200 0.687240 SUCCESS  26
000111011    0    2    2    1    0    1    1    1  4.665320 0.792675 SUCCESS  27
000111101    2    4    0    1    1    1    2    4  9.319865 0.316035 SUCCESS  28
000111111    1    4    0    1    1    1    1    3  7.500187 0.483748 SUCCESS  29
001000011    1    0    2    3    3    0    4    4 12.576132 0.127290 SUCCESS  30
001000101    2    0    5    1    1    3    0    0 13.629630 0.091945 SUCCESS  31
001000111    2    3    1    2    0    2    3    3  5.431500 0.710617 SUCCESS  32
001001011    2    3    4    1    3    2    2    3  7.040479 0.532272 SUCCESS  33
001001101    2    2    2    0    1    3    4    4  9.913655 0.271139 SUCCESS  34
001001111    0    1    1    1    0    1    3    1  5.891208 0.659417 SUCCESS  35
001010011    1    0    2    4    5    3    2    2 13.380621 0.099407 SUCCESS  36
001010101    2    0    3    2    1    3    2    0  6.063599 0.640108 SUCCESS  37
001010111    1    1    1    1    0    2    3    2  4.033221 0.854114 SUCCESS  38
001011011    5    2    2    0    1    2    1    3 10.335054 0.242292 SUCCESS  39
001011101    3    2    1    3    2    3    2    2  3.784212 0.876049 SUCCESS  40
001011111    1    2    0    4    1    1    1    2  6.274299 0.616536 SUCCESS  41
001100101    2    3    1    0    2    2    4    2  6.657389 0.574008 SUCCESS  42
001100111    1    2    1    4    3    2    0    1  7.078788 0.528156 SUCCESS  43
001101011    4    1    2    3    1    1    0    0  8.726076 0.365928 SUCCESS  44
001101101    2    3    6    1    2    2    2    1 13.380621 0.099407 SUCCESS  45
001101111    2    2    2    1    1    4    1    3  5.431500 0.710617 SUCCESS  46
001110101    2    0    1    1    2    1    2    0  4.454620 0.813956 SUCCESS  47
001110111    0    2    2    1    3    0    0    1  6.906397 0.546765 SUCCESS  48
