		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.984375	M = 2048	N = 8	m = 9	n = 16384
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    3    3    5    6    7    5    2  5.705556 0.680175 SUCCESS   0
000000011    6    4    1    3    2    5    4    3  5.139899 0.742524 SUCCESS   1
000000101    2    2    3    6    3    4    3    5  4.105556 0.847476 SUCCESS   2
000000111    6    4    1    6    3    3    3    2  6.174242 0.627721 SUCCESS   3
000001001    5    3    6    3    5    3    6    0  7.491414 0.484655 SUCCESS   4
000001011    3    4    3    4    6    4    5    3  2.069192 0.978817 SUCCESS   5
000001101    5    5    4    2    1    5    5    3  4.638889 0.795382 SUCCESS   6
000001111    6    5    3    9    5    3    4    0 12.695455 0.122767 SUCCESS   7
000010001    3    1    3    6    2    3    0    2 10.246970 0.248118 SUCCESS   8
000010011    5    3    9    7    3    3    4    1 12.178283 0.143425 SUCCESS   9
000010101    3    3    2    5    4    2    3    6  4.105556 0.847476 SUCCESS  10
000010111    5    6    3    4    6    4    5    4  2.885354 0.941345 SUCCESS  11
000011001    2    5   10    6    9    6    2    2 21.285354 0.006427 FAILURE  12
000011011    5    5    3    4    1    6    4    4  4.137879 0.844474 SUCCESS  13
000011101    1    2    4    2    7    1    5    4  9.261111 0.320750 SUCCESS  14
000011111    4    5    3    4    2    3    6    2  3.855051 0.869959 SUCCESS  15
000100011    4    4    2    8    3    3    1    4  7.992424 0.434210 SUCCESS  16
000100101    5    3    3    4    5    2    3    2  3.321717 0.912577 SUCCESS  17
000100111    7    2    7    6    3    4    2    3  8.291414 0.405534 SUCCESS  18
000101001    2    6    8    5    3    5    7    6 10.424747 0.236470 SUCCESS  19
000101011    4    6    3    3    5    6    3    4  3.119697 0.926623 SUCCESS  20
000101101    4    6    7    4    1    6    1    3  9.309596 0.316856 SUCCESS  21
000101111    4    2    4    5    7    3    3    4  4.137879 0.844474 SUCCESS  22
000110011    3    6    6    8    7    4    4    1 11.176263 0.191911 SUCCESS  23
000110101    4    2    5    2    5    5    6    1  6.190404 0.625913 SUCCESS  24
000110111   11    3    5    2    4    4    6    4 15.313636 0.053326 SUCCESS  25
000111001    2    3    7    6    9    3    5    6 12.743939 0.120969 SUCCESS  26
000111011    1    4    1    2    8    5    2    2 12.097475 0.146908 SUCCESS  27
000111101    9    4    3    5    2    2    3    4  9.309596 0.316856 SUCCESS  28
000111111    4    4    2    2    4    3    6    3  3.588384 0.892223 SUCCESS  29
001000011    7    2    3    3    4    4    6    4  4.921717 0.765909 SUCCESS  30
001000101    1    2    5    3    4    5    4    5  4.372222 0.822077 SUCCESS  31
001000111    5    3    2    3    3    4    2    5  3.321717 0.912577 SUCCESS  32
001001011    3    2    5    6    7    3    4    4  5.188384 0.737265 SUCCESS  33
001001101    5    4    0    2    0    2    5    3 11.030808 0.199960 SUCCESS  34
001001111    6    3    7    3    3    4    2    3  5.422727 0.711585 SUCCESS  35
001010011    1    5    7    5    2    7    8    7 15.079293 0.057622 SUCCESS  36
001010101    3    2    4    5    2    4    8    5  6.990404 0.537668 SUCCESS  37
001010111    4    6    4    4    2    4    1    2  5.390404 0.715150 SUCCESS  38
001011011    4    5   10    5    2    4    3    5 11.426768 0.178670 SUCCESS  39
001011101    3    7    2    6    4    7    4    3  7.273232 0.507460 SUCCESS  40
001011111    2    4    4    9   10    3    2    5 18.416667 0.018311 SUCCESS  41
001100101    4    4    5    2    1    2    4    4  4.606566 0.798679 SUCCESS  42
001100111    3    6    6    9    4    3    4    1 11.410606 0.179501 SUCCESS  43
001101011    3    6    5    2    6    5    4    4  3.903535 0.865720 SUCCESS  44
001101101    1    6    0    5    1    4    1    1 14.634848 0.066647 SUCCESS  45
