		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.984375	M = 1024	N = 8	m = 9	n = 8192
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    1    1    2    1    2    2  5.576768 0.694521 SUCCESS   0
000000011    1    1    0    2    1    1    2    3  4.574747 0.801909 SUCCESS   1
000000101    1    3    5    0    1    1    3    0 11.346465 0.182830 SUCCESS   2
000000111    2    0    2    2    1    0    1    4  7.176768 0.517687 SUCCESS   3
000001001    3    1    1    0    2    4    0    3  8.243434 0.410059 SUCCESS   4
000001011    2    3    3    1    3    3    3    1  3.669697 0.885628 SUCCESS   5
000001101    0    5    2    1    2    3    2    0  9.811111 0.278535 SUCCESS   6
000001111    2    0    2    1    1    0    0    2  7.112121 0.524585 SUCCESS   7
000010001    4    1    1    3    3    1    4    2  6.772727 0.561341 SUCCESS   8
000010011    3    2    2    0    1    2    0    2  5.108081 0.745964 SUCCESS   9
000010101    2    2    1    3    2    3    3    1  2.603030 0.956753 SUCCESS  10
000010111    3    2    5    1    1    1    4    2  8.841414 0.355850 SUCCESS  11
000011001    0    0    4    0    2    2    1    3  9.245455 0.322015 SUCCESS  12
000011011    1    5    1    2    3    7    2    0 21.285859 0.006426 FAILURE  13
000011101    4    1    2    1    0    2    3    3  6.207071 0.624049 SUCCESS  14
000011111    1    1    2    0    2    0    0    5 11.815152 0.159644 SUCCESS  15
000100011    2    0    4    3    2    2    5    1  9.875758 0.273855 SUCCESS  16
000100101    2    2    1    0    2    2    1    3  3.572727 0.893473 SUCCESS  17
000100111    2    4    2    1    2    2    0    1  5.140404 0.742470 SUCCESS  18
000101001    4    2    4    3    2    3    2    0  7.306061 0.504000 SUCCESS  19
000101011    3    3    3    2    2    2    2    0  3.637374 0.888271 SUCCESS  20
000101101    1    3    1    2    6    0    1    1 12.914141 0.114838 SUCCESS  21
000101111    3    1    3    3    1    0    5    0 11.378788 0.181146 SUCCESS  22
000110011    1    1    3    0    2    3    1    2  4.607071 0.798628 SUCCESS  23
000110101    2    1    1    2    0    1    3    1  4.574747 0.801909 SUCCESS  24
000110111    2    3    0    2    1    6    3    1 12.445455 0.132408 SUCCESS  25
000111001    1    1    3    3    0    0    1    2  6.643434 0.575545 SUCCESS  26
000111011    2    1    2    1    1    2    2    2  1.504040 0.992641 SUCCESS  27
000111101    2    2    1    2    2    2    1    1  1.504040 0.992641 SUCCESS  28
000111111    2    1    2    1    2    1    2    4  3.605051 0.890886 SUCCESS  29
001000011    0    1    1    3    0    1    2    3  6.643434 0.575545 SUCCESS  30
001000101    4    4    2    2    4    1    1    1  7.807071 0.452540 SUCCESS  31
001000111    4    1    2    4    2    3    4    1  7.839394 0.449314 SUCCESS  32
001001011    5    2    1    0    1    3    2    2  8.275758 0.407007 SUCCESS  33
001001101    2    0    3    1    4    2    1    3  6.207071 0.624049 SUCCESS  34
001001111    2    2    1    0    3    1    1    2  4.073737 0.850410 SUCCESS  35
001010011    2    1    5    1    1    4    2    1  8.809091 0.358656 SUCCESS  36
001010101    2    1    0    5    3    4    2    3 10.409091 0.237478 SUCCESS  37
001010111    4    2    3    3    2    1    1    0  6.207071 0.624049 SUCCESS  38
001011011    2    1    1    2    6    1    1    0 12.380808 0.135005 SUCCESS  39
001011101    2    2    2    3    1    2    2    3  1.568687 0.991508 SUCCESS  40
001011111    4    1    3    5    1    0    3    2 10.910101 0.206845 SUCCESS  41
001100101    1    1    2    2    1    1    0    5  8.744444 0.364311 SUCCESS  42
001100111    1    2    3    1    0    2    1    2  4.073737 0.850410 SUCCESS  43
001101011    3    3    2    2    0    2    3    0  5.673737 0.683725 SUCCESS  44
001101101    0    4    5    2    4    2    2    0 12.978788 0.112582 SUCCESS  45
001101111    1    2    2    4    2    5    4    4 11.508081 0.174538 SUCCESS  46
001110101    2    1    2    5    0    2    2    4  9.342424 0.314238 SUCCESS  47
001110111    1    2    3    1    1    2    1    1  3.039394 0.931861 SUCCESS  48
001111011    2    1    3    1    2    2    0    1  4.073737 0.850410 SUCCESS  49
