		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 7.984375	M = 4096	N = 8	m = 9	n = 32768
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   10    9    3    6    6    8    9   10  5.547727 0.697747 SUCCESS   0
000000011   12    7    5    9    7    9    8    5  4.905303 0.767648 SUCCESS   1
000000101    6    8    6    1   11    8   11   11 10.852778 0.210181 SUCCESS   2
000000111    9    6    2    9    7    8    8    6  6.040657 0.642678 SUCCESS   3
000001001    9    8    6    8    9   11    5    6  3.612374 0.890296 SUCCESS   4
000001011    9    5    6    5   11    6   12    6  7.224495 0.512617 SUCCESS   5
000001101    7    6    7   12    4    6   10    7  6.056818 0.640867 SUCCESS   6
000001111   12    7    4    7    7    5    5    6  7.325505 0.501955 SUCCESS   7
000010001    7   10   12    7    3    4    3   12 13.422475 0.098117 SUCCESS   8
000010011   12    6    6    5    7    9    6    5  6.173990 0.627749 SUCCESS   9
000010101    7    8    7    5    7    8   11    5  3.854798 0.869981 SUCCESS  10
000010111   10    5    4    7   10   10   14    8  9.584091 0.295438 SUCCESS  11
000011001   11    5   10    5    7   13   11    7  8.683081 0.369732 SUCCESS  12
000011011    2    7    7    9    7    8   11    8  6.315404 0.611948 SUCCESS  13
000011101    9    8    6    8   15   10    8   10  8.056818 0.427940 SUCCESS  14
000011111   10   10    6    9   10    4   10    6  5.305303 0.724502 SUCCESS  15
000100011    6    9    9    6    6    5    7    8  3.070960 0.929826 SUCCESS  16
000100101    9    8    9   15    9    9   12    3 12.194192 0.142748 SUCCESS  17
000100111   10    6    8    7    4   10    5    4  6.941667 0.542939 SUCCESS  18
000101001    6   14    4    7   10    7    7    7  8.266919 0.407841 SUCCESS  19
000101011    6    9   10    5    5    9   15    5 11.119444 0.195023 SUCCESS  20
000101101    6    3    5    3    3    4   10    7 14.000253 0.081759 SUCCESS  21
000101111   12    4    7   10    3    9    9   15 14.630556 0.066740 SUCCESS  22
000110011   16    9    9    4    8    7   14    4 17.483081 0.025454 SUCCESS  23
000110101    4    7   10   12    4    7    7    6  7.600253 0.473459 SUCCESS  24
000110111    5   12    7   11   10    8    6    7  5.697222 0.681105 SUCCESS  25
000111001    7   12    8    8    7    9    7    9  2.727525 0.950277 SUCCESS  26
000111011    9   10    9    6   11   11   11    8  4.828535 0.775735 SUCCESS  27
000111101    4    9    3    7    4   10    6   10  9.135606 0.330986 SUCCESS  28
000111111   11    6    9    4    9    3    8    8  7.216414 0.513474 SUCCESS  29
001000011    3    9    9   12   13    7    6    5 10.602273 0.225269 SUCCESS  30
001000101   10    6   14    9    4    5    7   13 12.428535 0.133083 SUCCESS  31
001000111    7    6    6    5    5    7    5    9  4.856818 0.772764 SUCCESS  32
001001011   12   11    8    8    6    6    8    3  7.491162 0.484681 SUCCESS  33
001001101    7    9   10    7   11   13    8   10  5.862879 0.662588 SUCCESS  34
001001111   11    7    8    4    8    7    6    4  6.040657 0.642678 SUCCESS  35
001010011    5    9    8    4   12    6    4    9  8.117424 0.422085 SUCCESS  36
001010101    4    4    4    5    7    5    5    7  9.862879 0.274782 SUCCESS  37
001010111    9    7   11    5    3    7   14   10 11.127525 0.194578 SUCCESS  38
001011011    7    5    4    6    7    6   10    6  5.507323 0.702229 SUCCESS  39
001011101    7    9    8   16    8    5   10    4 12.295202 0.138511 SUCCESS  40
001011111    8    5    7    6    5    6   13    7  6.824495 0.555681 SUCCESS  41
001100101    8    6    5    7   11   10   10   13  7.264899 0.508340 SUCCESS  42
001100111   12   10   10    4   12    8   12    4 11.410354 0.179514 SUCCESS  43
001101011    6   10   11    5    9   11    7    7  4.921465 0.765936 SUCCESS  44
001101101   13   11   15    9    6    9   10    9 12.226515 0.141380 SUCCESS  45
001101111    8   11    4    6    5    9    3    9  8.367929 0.398379 SUCCESS  46
001110101    4   11    9    8    8    8    7    7  3.612374 0.890296 SUCCESS  47
001110111    9    6    8    4   11   11    8    7  5.171970 0.739048 SUCCESS  48
001111011   10    8    5    3    3   13    4    6 13.915404 0.083997 SUCCESS  49
001111101    3    9    3   10    8    7    4   10  9.786111 0.280360 SUCCESS  50
001111111   14    6    6    5   11    3    8    7 11.361869 0.182026 SUCCESS  51
010000011    9    5   14    5    6    8   10   11  9.325505 0.315585 SUCCESS  52
010000111    7   12    9   12   14    7    5   10 10.909343 0.206889 SUCCESS  53
010001011    7    7   14   13    3    2    9   12 18.242677 0.019479 SUCCESS  54
010001111    9    9    8    3    8    9    5   16 13.070960 0.109431 SUCCESS  55
