		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 7.984375	M = 4096	N = 8	m = 9	n = 32768
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    6    7   10    5    6    5    8   10  4.497222 0.809711 SUCCESS   0
000000011    9    8   11    6    8   10    3   13  8.808333 0.358722 SUCCESS   1
000000101   11    3   10    6    6    8   10    9  6.590152 0.581426 SUCCESS   2
000000111    5    8    9    4    7   15    6   12 12.420455 0.133407 SUCCESS   3
000001001   11   10    6    5    6    7    6    8  4.505303 0.808902 SUCCESS   4
000001011    8    3    8    8    7    8    4   10  5.915404 0.656707 SUCCESS   5
000001101    9   11   10    9    6    9    6    4  5.171970 0.739048 SUCCESS   6
000001111    5    7    9    5    6   11    6   11  5.931566 0.654897 SUCCESS   7
000010001   11   11    6   10    9    6   20    9 22.828535 0.003592 FAILURE   8
000010011    8    9    7    6    6    7    7    8  1.527525 0.992241 SUCCESS   9
000010101    9    5   11    4   10    9    6   10  6.206313 0.624134 SUCCESS  10
000010111    8    6    8    8    8    6    4   11  4.246717 0.834206 SUCCESS  11
000011001    8    8    5    4    5   11   13    9  8.917424 0.349310 SUCCESS  12
000011011   11   14    7    7    5   10    9    6  8.424495 0.393140 SUCCESS  13
000011101    8   10    8   10    5   10    9    5  4.012374 0.856005 SUCCESS  14
000011111    6    5   11   10    9    7    7   14  8.424495 0.393140 SUCCESS  15
000100011    9   14    8    8   14    7   14    6 14.804293 0.063064 SUCCESS  16
000100101   10   10    8   11   13    9    4    5  8.816414 0.358019 SUCCESS  17
000100111   11    9   11    8    6    6    4    3  8.767929 0.362250 SUCCESS  18
000101001   10   10    6    6    5    8    9    9  3.487121 0.900187 SUCCESS  19
000101011    5    6    9   10    9    7    6    8  3.087121 0.928772 SUCCESS  20
000101101    9    2    5    7    9    8    7   11  7.475000 0.486354 SUCCESS  21
000101111    4    8   15   10    4    8    7   11 12.295202 0.138511 SUCCESS  22
