		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.984375	M = 2048	N = 8	m = 9	n = 16384
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    4    1    2    1    3    4    6  9.228788 0.323365 SUCCESS   0
000000011    3    3    3    4    1    3    5    6  4.622727 0.797033 SUCCESS   1
000000101    4    5    7    3    5    5    3    5  3.919697 0.864295 SUCCESS   2
000000111    1    2    1    5    2    5    7    1 11.830808 0.158914 SUCCESS   3
000001001    2    2    4    4    7    2    2    7  8.776263 0.361520 SUCCESS   4
000001011    5    3    4    7    7    3    3    7  8.073232 0.426349 SUCCESS   5
000001101    2    0    7    4    1    5    3    6 11.345960 0.182856 SUCCESS   6
000001111    1    3    2    7    8    3    4    4 10.343939 0.241711 SUCCESS   7
000010001    3    3    7    5    5    3    5    3  4.154040 0.842965 SUCCESS   8
000010011    4    6    3    2    4    4    1    7  6.974242 0.539414 SUCCESS   9
000010101    3    4    6    3    2    3    5    5  3.354040 0.910218 SUCCESS  10
000010111    6    2    2    4    6    2    2    7  8.525758 0.383866 SUCCESS  11
000011001    4    3    3    1    2    2    6    4  5.891414 0.659394 SUCCESS  12
000011011    3    1    4    5    1    3    1    4  7.677273 0.465613 SUCCESS  13
000011101    4    4    2    2    1    5    6    1  7.960101 0.437377 SUCCESS  14
000011111    3    3    5    6    7    3    5    1  6.990404 0.537668 SUCCESS  15
000100011    8    2    6    5    4    4    7    5  9.123737 0.331965 SUCCESS  16
000100101    8    7    1    4    7    4    5    4 11.442929 0.177843 SUCCESS  17
000100111    2    5    2    1    2    3    2    8 11.063131 0.198148 SUCCESS  18
000101001    3    7    5    1    2    2    3    2  8.477273 0.388289 SUCCESS  19
000101011    3    3    3    5    3    9    2    4  8.792424 0.360108 SUCCESS  20
000101101    6    8    5    5    3    4    2    4  7.022727 0.534183 SUCCESS  21
000101111    4    0    4    2    3    2    6    6  8.493434 0.386811 SUCCESS  22
000110011    5    9    2    4    7    2    2    4 12.178283 0.143425 SUCCESS  23
000110101    2    0    5    3    5    6    5    3  7.475253 0.486328 SUCCESS  24
000110111    4    2    5    3    4    6    0    9 13.196465 0.105266 SUCCESS  25
000111001    4    5    2    5    1    5    8    1 10.594444 0.225754 SUCCESS  26
000111011    4    5    2    1    2    3    8    2 10.044949 0.261885 SUCCESS  27
