		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 31.984375	M = 16384	N = 8	m = 9	n = 131072
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   36   29   21   38   24   40   25   30 11.720265 0.164128 SUCCESS   0
000000011   30   30   26   36   22   40   23   39 11.432386 0.178382 SUCCESS   1
000000101   40   30   26   26   32   37   23   43 11.863699 0.157390 SUCCESS   2
000000111   37   38   29   30   24   45   32   43 13.856629 0.085580 SUCCESS   3
000001001   29   30   26   33   31   29   31   42  5.199053 0.736105 SUCCESS   4
000001011   42   27   24   28   26   26   31   42 12.208144 0.142156 SUCCESS   5
000001101   28   28   27   32   28   36   39   24  6.515215 0.589721 SUCCESS   6
000001111   27   29   31   31   27   35   32   31  2.281881 0.971128 SUCCESS   7
000010001   22   23   38   28   34   30   33   29  8.094003 0.424342 SUCCESS   8
000010011   26   26   32   36   31   26   34   30  4.283902 0.830644 SUCCESS   9
000010101   38   36   27   30   40   38   23   27  9.279861 0.319240 SUCCESS  10
000010111   32   25   29   26   38   27   33   34  5.159659 0.740383 SUCCESS  11
000011001   31   34   35   39   31   30   34   30  2.464710 0.963356 SUCCESS  12
000011011   28   39   28   29   33   39   40   26  7.763699 0.456887 SUCCESS  13
000011101   30   39   26   33   26   45   39   43 15.055619 0.058073 SUCCESS  14
000011111   28   28   31   37   38   30   31   33  3.232386 0.918939 SUCCESS  15
000100011   27   26   35   26   31   29   30   35  4.152588 0.843101 SUCCESS  16
000100101   26   28   25   30   27   31   28   23  7.331376 0.501338 SUCCESS  17
000100111   37   22   24   35   35   31   25   27  9.095013 0.334344 SUCCESS  18
000101001   31   34   43   32   33   32   35   39  6.003093 0.646885 SUCCESS  19
000101011   35   29   31   24   40   28   29   32  5.551578 0.697319 SUCCESS  20
000101101   33   27   25   34   33   26   34   38  5.036427 0.753676 SUCCESS  21
