		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.984375	M = 1024	N = 8	m = 9	n = 8192
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    1    1    1    2    3    4    0  8.211111 0.413125 SUCCESS   0
000000011    2    2    2    3    5    4    3    0  9.908081 0.271537 SUCCESS   1
000000101    4    2    1    1    1    5    2    4 10.409091 0.237478 SUCCESS   2
000000111    4    2    0    3    2    4    1    0  9.310101 0.316815 SUCCESS   3
000001001    3    2    1    0    3    0    3    2  6.174747 0.627665 SUCCESS   4
000001011    3    3    0    1    1    2    2    2  4.106061 0.847430 SUCCESS   5
000001101    3    1    1    3    1    1    4    3  5.706061 0.680119 SUCCESS   6
000001111    1    5    3    1    2    2    0    1  8.776768 0.361476 SUCCESS   7
000010001    1    3    2    2    0    3    1    0  6.142424 0.631282 SUCCESS   8
000010011    2    3    1    4    2    1    3    1  4.671717 0.792018 SUCCESS   9
000010101    2    1    3    3    3    3    0    4  6.772727 0.561341 SUCCESS  10
000010111    1    5    0    0    2    3    3    1 10.845455 0.210611 SUCCESS  11
000011001    3    1    3    1    2    1    3    6 11.443434 0.177817 SUCCESS  12
000011011    4    0    2    1    1    1    4    1  8.243434 0.410059 SUCCESS  13
000011101    5    1    1    5    0    4    2    0 16.582828 0.034758 SUCCESS  14
000011111    2    3    1    2    3    1    0    1  4.607071 0.798628 SUCCESS  15
000100011    2    3    1    2    0    6    0    3 13.980808 0.082267 SUCCESS  16
000100101    1    0    2    1    2    1    3    3  4.607071 0.798628 SUCCESS  17
000100111    3    1    1    3    2    0    1    0  6.643434 0.575545 SUCCESS  18
000101001    2    4    3    2    1    2    4    0  7.273737 0.507407 SUCCESS  19
000101011    2    4    1    2    2    4    2    5  9.407071 0.309128 SUCCESS  20
000101101    1    2    1    0    2    2    5    3  8.275758 0.407007 SUCCESS  21
000101111    0    2    0    2    2    2    1    2  4.574747 0.801909 SUCCESS  22
000110011    2    1    3    1    5    1    3    5 11.976768 0.152243 SUCCESS  23
000110101    0    2    1    4    1    0    1    4  9.778788 0.280897 SUCCESS  24
000110111    1    2    3    1    0    1    1    4  6.675758 0.571985 SUCCESS  25
000111001    3    0    1    2    1    4    1    1  6.675758 0.571985 SUCCESS  26
000111011    4    1    3    2    0    3    0    0  9.778788 0.280897 SUCCESS  27
000111101    1    2    1    3    2    1    0    0  6.110101 0.634900 SUCCESS  28
000111111    3    2    0    3    2    0    1    1  6.142424 0.631282 SUCCESS  29
001000011    1    2    1    4    0    1    0    1  8.178788 0.416203 SUCCESS  30
001000101    0    6    2    2    1    1    4    2 13.479798 0.096373 SUCCESS  31
001000111    1    2    2    2    2    6    1    0 11.378788 0.181146 SUCCESS  32
001001011    3    1    1    2    2    2    4    2  3.637374 0.888271 SUCCESS  33
001001101    2    5    0    2    3    4    3    1 10.409091 0.237478 SUCCESS  34
001001111    1    1    0    3    1    1    2    2  4.574747 0.801909 SUCCESS  35
001010011    2    6    3    2    1    2    4    2 11.475758 0.176171 SUCCESS  36
001010101    1    2    2    3    3    3    1    2  2.603030 0.956753 SUCCESS  37
001010111    1    3    2    1    2    3    2    4  4.170707 0.841402 SUCCESS  38
001011011    2    0    2    0    3    3    7    1 18.651515 0.016839 SUCCESS  39
001011101    4    4    1    3    2    5    3    0 12.510101 0.129854 SUCCESS  40
001011111    0    3    0    2    3    1    1    2  6.142424 0.631282 SUCCESS  41
001100101    3    2    4    1    3    3    2    1  4.704040 0.788689 SUCCESS  42
001100111    3    1    0    2    3    1    1    4  6.708081 0.568431 SUCCESS  43
001101011    0    4    2    2    2    0    0    3  8.744444 0.364311 SUCCESS  44
001101101    2    0    1    1    0    0    6    2 15.451515 0.050938 SUCCESS  45
001101111    0    1    4    3    0    1    3    2  8.243434 0.410059 SUCCESS  46
001110101    1    3    3    5    4    2    4    2 10.473737 0.233336 SUCCESS  47
001110111    4    1    4    2    1    2    1    1  6.207071 0.624049 SUCCESS  48
001111011    2    1    2    2    3    0    2    1  3.572727 0.893473 SUCCESS  49
001111101    4    1    1    1    4    2    3    1  6.740404 0.564883 SUCCESS  50
001111111    5    3    0    2    3    0    2    2  9.843434 0.276187 SUCCESS  51
010000011    3    3    3    0    0    1    1    0  8.712121 0.367160 SUCCESS  52
010000111    3    3    1    3    1    1    1    1  4.106061 0.847430 SUCCESS  53
010001011    0    3    2    3    2    0    3    1  6.174747 0.627665 SUCCESS  54
010001111    1    0    0    1    6    3    2    0 15.984848 0.042597 SUCCESS  55
010010011    2    2    1    3    0    6    1    1 12.413131 0.133701 SUCCESS  56
010010111    3    1    1    4    3    0    2    1  6.708081 0.568431 SUCCESS  57
010011011    2    2    0    4    1    3    4    0  9.310101 0.316815 SUCCESS  58
010011111    3    1    2    1    0    4    5    1 10.877778 0.208721 SUCCESS  59
010100011    1    0    1    1    3    1    1    3  5.609091 0.690926 SUCCESS  60
010100111    3    3    3    2    2    4    5    3  8.938384 0.347520 SUCCESS  61
010101011    2    1    3    2    3    3    2    1  2.603030 0.956753 SUCCESS  62
010101111    1    1    1    2    0    2    4    4  7.742424 0.459027 SUCCESS  63
010110011    1    4    4    1    4    1    1    1  8.809091 0.358656 SUCCESS  64
010110111    1    1    4    5    3    1    1    2  9.342424 0.314238 SUCCESS  65
010111011    4    1    3    2    3    3    2    0  6.239394 0.620436 SUCCESS  66
010111111    0    1    1    4    3    1    2    3  6.708081 0.568431 SUCCESS  67
011000111    6    2    1    2    2    1    1    1 10.344444 0.241678 SUCCESS  68
011001111    2    1    2    1    4    4    2    2  5.205051 0.735452 SUCCESS  69
011010111    1    2    3    1    3    3    0    2  4.639394 0.795331 SUCCESS  70
011011111    1    1    3    4    2    0    2    2  5.673737 0.683725 SUCCESS  71
011101111    3    1    5    0    1    3    1    1  9.811111 0.278535 SUCCESS  72
011111111    3    2    2    4    6    0    0    3 15.580808 0.048788 SUCCESS  73
100000000    0    1    1    1    2    3    4    0  8.211111 0.413125 SUCCESS  74
100010000    3    4    2    3    2    0    2    0  7.241414 0.510824 SUCCESS  75
100100000    1    2    3    2    2    5    2    3  6.271717 0.616824 SUCCESS  76
100101000    3    2    1    1    1    1    2    3  3.071717 0.929777 SUCCESS  77
