		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.984375	M = 2048	N = 8	m = 9	n = 16384
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    5    4    8    2    6    3    2    2  8.792424 0.360108 SUCCESS   0
000000011    2    4    5    2    5    1    4    1  7.176263 0.517740 SUCCESS   1
000000101    4    4    7    6    3    4    1    6  7.006566 0.535924 SUCCESS   2
000000111    3    7    3    4    2    4    3    2  5.139899 0.742524 SUCCESS   3
000001001    6    2    5    4    6    4    3    5  3.903535 0.865720 SUCCESS   4
000001011    5    2    6    6    4    2    3    7  7.006566 0.535924 SUCCESS   5
000001101    1    2    5    6    5    6    6    3  7.257071 0.509168 SUCCESS   6
000001111    4    5    5    4    4    3    0    1  7.192424 0.516021 SUCCESS   7
000010001    4    4    1    4    3    6    5    5  4.137879 0.844474 SUCCESS   8
000010011    4    5    2    2    5    6    1    4  5.923737 0.655774 SUCCESS   9
000010101    5    3    3    2    6    6    2    4  4.905556 0.767621 SUCCESS  10
000010111    3    2    7    4    4    4    7    6  7.022727 0.534183 SUCCESS  11
000011001    3    6    5    6    8    5    4    5  7.321717 0.502353 SUCCESS  12
000011011    3    1    4    5    5    5    5    0  7.725758 0.460707 SUCCESS  13
000011101    6    2    2    2    5    3    6    4  5.673232 0.683781 SUCCESS  14
000011111    2    5    5    2    6    5    5    4  4.154040 0.842965 SUCCESS  15
000100011    4    5    3    4    1    9    2    3 10.594444 0.225754 SUCCESS  16
000100101    6    4    9    7    4    2    5    4 11.192424 0.191033 SUCCESS  17
000100111    3    5    3    2    5    4    3    1  4.606566 0.798679 SUCCESS  18
000101001    1    4    3    2    3    3    4    3  4.323737 0.826798 SUCCESS  19
000101011    4    1    6    5    4    8    6    5  9.107576 0.333302 SUCCESS  20
000101101    4    3    3    7    3    0    3    4  7.459091 0.488004 SUCCESS  21
000101111    2    2    6    1    2    1    2    5  9.996465 0.265274 SUCCESS  22
000110011    3    5    6    3    4    3    2    4  3.087374 0.928755 SUCCESS  23
000110101    2    1    3    3    5    4    4    4  4.089394 0.848969 SUCCESS  24
000110111    3    1    8    4    8    4    4    2 11.911616 0.155191 SUCCESS  25
000111001    2    2    3    3    3    4    5    5  3.321717 0.912577 SUCCESS  26
000111011    4    5    0    1    5    2    6    6 10.061111 0.260763 SUCCESS  27
000111101    5    5    7    3    4    3    2    3  4.655051 0.793728 SUCCESS  28
000111111    2    7    4    3    8    5    7    2 11.426768 0.178670 SUCCESS  29
001000011    6    2    6    6    6    6    4    4  6.271212 0.616881 SUCCESS  30
001000101    1    3    0    4    3   10    7    2 19.636869 0.011801 SUCCESS  31
001000111    4    7    2    4    2    5    1    4  6.958081 0.541162 SUCCESS  32
001001011    2    1    8    3    5    4    7    2 11.378283 0.181172 SUCCESS  33
001001101    4    6    2    5    4    5    3    6  3.903535 0.865720 SUCCESS  34
001001111    2    5    4    5    5    4    7    0  8.275253 0.407055 SUCCESS  35
001010011    5    6    1    4    2    4    2    3  5.907576 0.657584 SUCCESS  36
001010101   13    4    3    3    1    3    3    3 24.574242 0.001835 FAILURE  37
001010111    6    2    3    6    6    3    8    4  8.840909 0.355894 SUCCESS  38
001011011    4    3    3    5    2    1    2    4  5.107576 0.746019 SUCCESS  39
001011101    7    3    6    8    5    6    8    6 14.360101 0.072849 SUCCESS  40
001011111    2    0    8    1    3    2    2    3 14.133838 0.078343 SUCCESS  41
001100101    5    6    3    2    7    4    4    8  9.107576 0.333302 SUCCESS  42
001100111    4    6    8    5    4    1    3    5  8.307576 0.404016 SUCCESS  43
001101011    1    2    4    2    3    4    6    3  5.891414 0.659394 SUCCESS  44
001101101    1    3    1    7    2    3    3    4  8.727778 0.365778 SUCCESS  45
