		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.406250	M = 216	N = 8	m = 9	n = 1728
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    1    0    1    1  4.616236 0.797695 SUCCESS   0
000000011    0    0    0    0    0    0    1    1  4.156528 0.842732 SUCCESS   1
000000101    0    0    0    0    1    1    0    0  4.156528 0.842732 SUCCESS   2
000000111    0    1    0    0    0    1    1    0  4.616236 0.797695 SUCCESS   3
000001001    0    0    1    0    1    2    0    0  9.979499 0.266468 SUCCESS   4
000001011    0    1    0    2    2    0    1    0 15.802469 0.045296 SUCCESS   5
000001101    1    0    0    0    0    1    1    0  4.616236 0.797695 SUCCESS   6
000001111    0    2    0    0    0    0    0    1  9.519790 0.300359 SUCCESS   7
000010001    0    0    0    1    1    0    1    0  4.616236 0.797695 SUCCESS   8
000010011    0    0    0    0    0    0    1    0  3.696820 0.883390 SUCCESS   9
000010101    1    1    0    0    0    1    0    0  4.616236 0.797695 SUCCESS  10
000010111    0    0    0    2    1    0    0    0  9.519790 0.300359 SUCCESS  11
000011001    0    0    0    0    0    0    0    2  9.060082 0.337253 SUCCESS  12
000011011    1    0    0    0    0    2    1    0  9.979499 0.266468 SUCCESS  13
000011101    2    1    0    0    0    1    0    0  9.979499 0.266468 SUCCESS  14
000011111    0    1    1    0    0    0    0    0  4.156528 0.842732 SUCCESS  15
000100011    0    0    0    0    1    0    1    0  4.156528 0.842732 SUCCESS  16
000100101    1    0    0    2    1    1    0    0 10.439207 0.235542 SUCCESS  17
000100111    0    1    0    2    0    1    0    0  9.979499 0.266468 SUCCESS  18
000101001    0    0    1    0    0    0    0    0  3.696820 0.883390 SUCCESS  19
000101011    1    0    0    0    0    1    1    0  4.616236 0.797695 SUCCESS  20
000101101    0    1    0    1    1    0    2    1 10.898915 0.207493 SUCCESS  21
000101111    0    0    1    0    0    0    0    1  4.156528 0.842732 SUCCESS  22
000110011    0    1    0    0    1    0    0    2  9.979499 0.266468 SUCCESS  23
000110101    1    0    0    0    0    1    0    0  4.156528 0.842732 SUCCESS  24
000110111    1    0    0    0    0    2    2    0 15.342761 0.052813 SUCCESS  25
000111001    1    1    0    0    1    1    0    0  5.075945 0.749429 SUCCESS  26
000111011    0    0    1    0    1    1    0    0  4.616236 0.797695 SUCCESS  27
000111101    0    1    0    1    0    0    1    0  4.616236 0.797695 SUCCESS  28
000111111    0    0    0    0    0    0    1    1  4.156528 0.842732 SUCCESS  29
001000011    1    0    1    0    0    1    0    0  4.616236 0.797695 SUCCESS  30
001000101    0    0    0    2    0    0    0    0  9.060082 0.337253 SUCCESS  31
001000111    0    0    0    0    0    0    1    0  3.696820 0.883390 SUCCESS  32
001001011    1    1    0    0    1    2    0    0 10.439207 0.235542 SUCCESS  33
001001101    0    0    1    0    0    0    1    0  4.156528 0.842732 SUCCESS  34
001001111    0    0    0    0    0    1    0    0  3.696820 0.883390 SUCCESS  35
001010011    1    0    0    0    0    0    0    0  3.696820 0.883390 SUCCESS  36
001010101    1    0    1    2    0    0    0    0  9.979499 0.266468 SUCCESS  37
001010111    1    2    1    0    0    1    0    0 10.439207 0.235542 SUCCESS  38
001011011    0    1    0    0    1    0    2    0  9.979499 0.266468 SUCCESS  39
001011101    0    1    1    2    1    0    0    2 16.262177 0.038778 SUCCESS  40
001011111    0    0    0    0    1    0    0    1  4.156528 0.842732 SUCCESS  41
001100101    0    0    2    0    0    0    0    0  9.060082 0.337253 SUCCESS  42
001100111    1    1    1    1    1    0    0    1  5.995361 0.647752 SUCCESS  43
001101011    0    0    0    0    0    0    1    2  9.519790 0.300359 SUCCESS  44
001101101    1    0    0    0    0    0    1    1  4.616236 0.797695 SUCCESS  45
001101111    1    0    0    0    1    1    1    0  5.075945 0.749429 SUCCESS  46
001110101    2    1    0    0    0    0    0    0  9.519790 0.300359 SUCCESS  47
001110111    0    1    1    1    2    1    0    0 10.898915 0.207493 SUCCESS  48
001111011    0    0    0    0    0    0    0    0  3.237112 0.918608 SUCCESS  49
001111101    1    1    2    0    1    0    0    1 10.898915 0.207493 SUCCESS  50
001111111    1    0    0    0    0    0    0    2  9.519790 0.300359 SUCCESS  51
010000011    0    1    0    1    0    0    0    1  4.616236 0.797695 SUCCESS  52
010000111    2    0    2    0    0    1    1    0 15.802469 0.045296 SUCCESS  53
010001011    0    0    0    2    0    0    1    2 15.342761 0.052813 SUCCESS  54
010001111    0    0    0    1    0    0    1    0  4.156528 0.842732 SUCCESS  55
010010011    0    0    0    0    0    1    0    0  3.696820 0.883390 SUCCESS  56
010010111    1    1    1    0    2    2    0    0 16.262177 0.038778 SUCCESS  57
010011011    0    0    1    0    0    0    0    0  3.696820 0.883390 SUCCESS  58
010011111    1    1    0    0    0    1    0    0  4.616236 0.797695 SUCCESS  59
010100011    1    0    0    0    1    0    2    0  9.979499 0.266468 SUCCESS  60
010100111    1    0    0    0    0    0    0    0  3.696820 0.883390 SUCCESS  61
010101011    0    0    1    2    0    0    0    0  9.519790 0.300359 SUCCESS  62
010101111    1    1    0    0    0    0    0    0  4.156528 0.842732 SUCCESS  63
010110011    0    0    0    1    1    0    1    0  4.616236 0.797695 SUCCESS  64
010110111    0    2    0    0    0    0    1    0  9.519790 0.300359 SUCCESS  65
010111011    0    0    1    1    1    0    0    0  4.616236 0.797695 SUCCESS  66
010111111    0    1    0    0    0    0    0    0  3.696820 0.883390 SUCCESS  67
011000111    1    0    2    1    1    0    1    0 10.898915 0.207493 SUCCESS  68
011001111    1    0    1    1    1    0    1    1  5.995361 0.647752 SUCCESS  69
011010111    1    0    0    0    0    1    0    2  9.979499 0.266468 SUCCESS  70
011011111    1    0    0    0    1    1    2    1 10.898915 0.207493 SUCCESS  71
011101111    0    1    0    0    1    0    0    0  4.156528 0.842732 SUCCESS  72
011111111    1    2    0    0    1    0    0    2 15.802469 0.045296 SUCCESS  73
100000000    0    0    0    0    1    0    1    1  4.616236 0.797695 SUCCESS  74
100010000    1    0    0    0    0    0    0    1  4.156528 0.842732 SUCCESS  75
100100000    0    2    0    0    0    1    0    0  9.519790 0.300359 SUCCESS  76
100101000    0    0    0    1    1    0    2    1 10.439207 0.235542 SUCCESS  77
100110000    0    0    0    0    1    1    1    0  4.616236 0.797695 SUCCESS  78
100111000    0    1    0    0    0    0    1    0  4.156528 0.842732 SUCCESS  79
101000000    0    0    0    1    0    1    1    0  4.616236 0.797695 SUCCESS  80
101000100    0    0    0    0    0    1    0    0  3.696820 0.883390 SUCCESS  81
101001000    1    1    1    1    0    1    0    0  5.535653 0.699087 SUCCESS  82
101001100    1    0    1    0    1    0    0    1  5.075945 0.749429 SUCCESS  83
101010000    1    0    0    0    0    1    0    0  4.156528 0.842732 SUCCESS  84
101010100    2    1    0    0    0    0    0    0  9.519790 0.300359 SUCCESS  85
101011000    0    0    0    0    0    1    1    1  4.616236 0.797695 SUCCESS  86
101011100    1    2    2    0    0    1    0    1 16.262177 0.038778 SUCCESS  87
101100000    0    0    0    0    2    0    0    0  9.060082 0.337253 SUCCESS  88
101100100    0    0    0    1    0    0    0    0  3.696820 0.883390 SUCCESS  89
101101000    2    0    0    1    0    0    0    0  9.519790 0.300359 SUCCESS  90
101101100    0    0    0    0    0    0    2    0  9.060082 0.337253 SUCCESS  91
101110000    1    2    1    0    0    1    0    1 10.898915 0.207493 SUCCESS  92
101110100    0    1    1    2    1    1    1    3 27.448410 0.000591 FAILURE  93
101111000    0    0    0    0    0    0    0    0  3.237112 0.918608 SUCCESS  94
101111100    1    0    0    0    1    0    0    1  4.616236 0.797695 SUCCESS  95
110000000    0    0    0    0    2    0    1    2 15.342761 0.052813 SUCCESS  96
110000010    0    1    1    0    0    0    1    0  4.616236 0.797695 SUCCESS  97
110000100    0    0    0    0    0    0    2    0  9.060082 0.337253 SUCCESS  98
110001000    0    0    0    0    0    0    0    1  3.696820 0.883390 SUCCESS  99
110001010    0    0    0    0    0    0    2    0  9.060082 0.337253 SUCCESS 100
110010000    0    1    0    0    0    1    0    0  4.156528 0.842732 SUCCESS 101
110010010    1    0    0    0    1    0    0    0  4.156528 0.842732 SUCCESS 102
110010100    0    0    0    0    1    0    1    1  4.616236 0.797695 SUCCESS 103
110011000    1    0    0    1    0    1    1    0  5.075945 0.749429 SUCCESS 104
110011010    0    0    0    0    0    0    0    1  3.696820 0.883390 SUCCESS 105
110100000    0    0    0    3    0    0    1    0 19.786607 0.011174 SUCCESS 106
110100010    0    0    0    1    0    0    1    1  4.616236 0.797695 SUCCESS 107
110100100    1    1    0    2    0    0    1    0 10.439207 0.235542 SUCCESS 108
110101000    1    0    0    0    1    2    0    0  9.979499 0.266468 SUCCESS 109
110101010    1    1    0    0    0    0    0    0  4.156528 0.842732 SUCCESS 110
