		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.984375	M = 1024	N = 8	m = 9	n = 8192
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    1    3    2    4    1    0    3  6.740404 0.564883 SUCCESS   0
000000011    3    1    2    2    4    0    1    1  6.174747 0.627665 SUCCESS   1
000000101    3    3    3    1    2    4    3    3  5.269697 0.728400 SUCCESS   2
000000111    3    2    1    2    3    1    0    4  6.207071 0.624049 SUCCESS   3
000001001    1    1    0    2    1    3    1    1  5.075758 0.749449 SUCCESS   4
000001011    4    3    2    0    4    3    6    3 16.178788 0.039891 SUCCESS   5
000001101    2    2    1    0    2    0    2    0  6.611111 0.579111 SUCCESS   6
000001111    2    0    1    2    3    0    0    3  7.677778 0.465562 SUCCESS   7
000010001    3    4    1    4    2    2    2    6 13.576768 0.093486 SUCCESS   8
000010011    0    2    0    4    2    4    0    1 10.813131 0.212514 SUCCESS   9
000010101    2    1    2    4    0    1    0    3  7.710101 0.462288 SUCCESS  10
000010111    2    2    1    1    3    4    4    3  6.271717 0.616824 SUCCESS  11
000011001    2    2    5    0    1    1    1    0 10.279798 0.245934 SUCCESS  12
000011011    3    1    1    1    3    1    2    1  3.572727 0.893473 SUCCESS  13
000011101    4    1    3    2    5    2    1    4 10.441414 0.235400 SUCCESS  14
000011111    2    1    2    1    2    5    2    6 14.045455 0.080588 SUCCESS  15
000100011    2    2    3    3    3    1    3    2  2.635354 0.955120 SUCCESS  16
000100101    0    1    1    2    4    2    0    4  9.277778 0.319408 SUCCESS  17
000100111    1    3    0    2    0    2    0    0  9.180808 0.327274 SUCCESS  18
000101001    2    5    3    2    2    3    4    1  8.372727 0.397933 SUCCESS  19
000101011    2    1    3    4    2    2    0    3  5.706061 0.680119 SUCCESS  20
000101101    2    2    3    2    2    4    1    1  3.637374 0.888271 SUCCESS  21
000101111    5    1    1    3    3    0    4    3 11.443434 0.177817 SUCCESS  22
000110011    4    1    3    0    2    1    2    1  6.174747 0.627665 SUCCESS  23
000110101    1    2    2    4    1    1    1    0  6.142424 0.631282 SUCCESS  24
000110111    1    1    3    2    4    0    3    3  6.740404 0.564883 SUCCESS  25
000111001    2    3    2    2    3    1    3    1  2.603030 0.956753 SUCCESS  26
000111011    2    2    1    3    3    2    1    2  2.069697 0.978800 SUCCESS  27
000111101    5    1    0    1    3    1    2    0 10.813131 0.212514 SUCCESS  28
000111111    1    0    1    1    4    2    2    4  7.742424 0.459027 SUCCESS  29
001000011    1    3    3    3    3    2    2    4  4.736364 0.785346 SUCCESS  30
001000101    3    3    2    3    3    4    2    4  6.336364 0.609610 SUCCESS  31
001000111    3    2    0    1    5    1    2    2  8.275758 0.407007 SUCCESS  32
001001011    0    2    0    2    3    6    4    2 15.047475 0.058229 SUCCESS  33
001001101    0    0    2    1    0    3    2    1  7.645455 0.468846 SUCCESS  34
001001111    1    3    1    1    1    0    0    0  8.647475 0.372901 SUCCESS  35
001010011    1    4    2    1    2    3    3    0  6.207071 0.624049 SUCCESS  36
001010101    3    0    2    2    2    2    1    1  3.572727 0.893473 SUCCESS  37
001010111    2    0    4    1    3    3    0    0  9.778788 0.280897 SUCCESS  38
001011011    2    2    0    1    1    5    4    1 10.344444 0.241678 SUCCESS  39
001011101    0    4    0    4    0    5    2    1 15.516162 0.049853 SUCCESS  40
001011111    2    0    2    4    2    1    0    4  8.776768 0.361476 SUCCESS  41
001100101    1    5    5    2    1    0    4    1 15.047475 0.058229 SUCCESS  42
001100111    3    2    3    0    1    2    5    4 10.409091 0.237478 SUCCESS  43
001101011    0    3    0    3    2    0    2    0  9.213131 0.324637 SUCCESS  44
001101101    2    2    3    1    0    1    0    4  7.710101 0.462288 SUCCESS  45
001101111    1    1    2    2    3    1    2    2  2.037374 0.979845 SUCCESS  46
001110101    1    2    2    3    6    2    2    6 17.714141 0.023475 SUCCESS  47
001110111    2    2    3    2    3    1    0    0  5.641414 0.687327 SUCCESS  48
001111011    4    4    1    1    4    1    2    0  9.843434 0.276187 SUCCESS  49
001111101    3    2    0    0    2    3    1    3  6.174747 0.627665 SUCCESS  50
001111111    2    0    0    1    4    1    1    4  9.778788 0.280897 SUCCESS  51
010000011    2    1    5    1    0    0    1    0 12.316162 0.137645 SUCCESS  52
010000111    2    2    2    1    6    2    5    7 26.554545 0.000844 FAILURE  53
010001011    3    4    3    1    1    2    3    4  6.805051 0.557805 SUCCESS  54
010001111    2    3    0    2    2    2    2    1  3.071717 0.929777 SUCCESS  55
010010011    0    1    1    1    1    0    4    2  8.178788 0.416203 SUCCESS  56
010010111    0    2    0    3    1    3    1    0  8.178788 0.416203 SUCCESS  57
010011011    0    0    3    3    0    1    2    2  7.677778 0.465562 SUCCESS  58
010011111    4    1    2    0    0    1    1    0  9.714141 0.285665 SUCCESS  59
010100011    1    2    2    3    1    2    1    4  4.138384 0.844427 SUCCESS  60
010100111    1    1    4    1    2    3    1    0  6.675758 0.571985 SUCCESS  61
010101011    4    0    1    2    1    2    2    1  5.641414 0.687327 SUCCESS  62
010101111    3    1    4    3    2    2    1    1  4.671717 0.792018 SUCCESS  63
010110011    1    2    2    1    4    1    1    5  8.809091 0.358656 SUCCESS  64
010110111    3    2    0    4    1    3    3    1  6.740404 0.564883 SUCCESS  65
010111011    0    2    1    2    1    1    1    3  4.574747 0.801909 SUCCESS  66
010111111    3    1    3    2    2    0    0    2  5.641414 0.687327 SUCCESS  67
011000111    6    2    0    3    1    2    2    2 11.411111 0.179475 SUCCESS  68
011001111    3    2    3    0    2    2    0    4  7.241414 0.510824 SUCCESS  69
011010111    0    5    2    3    1    1    0    0 12.348485 0.136319 SUCCESS  70
011011111    1    3    4    2    2    1    4    1  6.239394 0.620436 SUCCESS  71
011101111    3    5    2    1    1    1    1    1  7.742424 0.459027 SUCCESS  72
011111111    2    2    3    1    6    1    1    3 10.910101 0.206845 SUCCESS  73
100000000    3    1    3    2    4    1    0    3  6.740404 0.564883 SUCCESS  74
100010000    2    5    1    1    2    1    1    3  7.241414 0.510824 SUCCESS  75
100100000    4    1    2    2    0    1    3    1  6.174747 0.627665 SUCCESS  76
100101000    1    3    2    0    2    0    3    7 18.651515 0.016839 SUCCESS  77
100110000    1    0    2    2    1    2    0    1  5.576768 0.694521 SUCCESS  78
100111000    2    0    1    1    2    0    3    1  6.110101 0.634900 SUCCESS  79
101000000    1    5    3    1    3    2    2    3  7.306061 0.504000 SUCCESS  80
101000100    0    4    2    1    1    0    0    2  9.213131 0.324637 SUCCESS  81
101001000    2    1    4    2    0    5    1    1 10.344444 0.241678 SUCCESS  82
101001100    2    4    1    2    1    1    3    0  6.174747 0.627665 SUCCESS  83
101010000    2    4    1    3    5    0    0    2 11.912121 0.155168 SUCCESS  84
101010100    1    2    3    4    4    1    1    3  6.772727 0.561341 SUCCESS  85
101011000    1    4    1    6    2    2    4    2 13.544444 0.094440 SUCCESS  86
101011100    3    1    1    0    1    2    0    4  8.211111 0.413125 SUCCESS  87
101100000    4    1    2    0    3    3    2    1  6.207071 0.624049 SUCCESS  88
101100100    1    1    2    2    3    4    2    2  3.637374 0.888271 SUCCESS  89
101101000    3    2    1    1    2    2    2    2  1.536364 0.992087 SUCCESS  90
101101100    3    3    2    4    4    3    2    3  6.336364 0.609610 SUCCESS  91
101110000    1    2    1    4    3    2    1    2  4.138384 0.844427 SUCCESS  92
101110100    4    4    2    1    1    2    2    0  7.241414 0.510824 SUCCESS  93
101111000    1    1    1    0    1    1    2    3  5.075758 0.749449 SUCCESS  94
101111100    3    2    2    2    1    3    4    1  4.170707 0.841402 SUCCESS  95
110000000    3    0    2    1    4    2    1    4  7.774747 0.455777 SUCCESS  96
110000010    4    2    3    1    2    3    0    4  7.807071 0.452540 SUCCESS  97
110000100    2    0    0    4    2    0    2    2  8.211111 0.413125 SUCCESS  98
110001000    2    2    3    1    4    1    2    2  3.637374 0.888271 SUCCESS  99
110001010    1    2    3    2    1    1    1    1  3.039394 0.931861 SUCCESS 100
110010000    1    2    3    2    2    0    3    1  4.106061 0.847430 SUCCESS 101
110010010    1    3    0    3    2    5    8    1 27.524242 0.000574 FAILURE 102
110010100    1    2    0    0    0    3    4    4 11.346465 0.182830 SUCCESS 103
110011000    2    0    4    1    3    2    0    1  7.710101 0.462288 SUCCESS 104
110011010    3    4    1    0    2    2    0    0  9.245455 0.322015 SUCCESS 105
110100000    2    3    3    0    1    3    1    2  4.639394 0.795331 SUCCESS 106
110100010    4    3    1    0    2    0    3    0  9.778788 0.280897 SUCCESS 107
110100100    1    0    2    2    2    2    2    3  3.071717 0.929777 SUCCESS 108
110101000    2    1    2    5    3    1    0    2  8.275758 0.407007 SUCCESS 109
110101010    2    2    2    4    4    1    2    3  5.237374 0.731930 SUCCESS 110
110101100    0    3    2    3    2    2    2    2  3.104040 0.927660 SUCCESS 111
110110000    4    1    3    1    0    3    1    1  7.209091 0.514251 SUCCESS 112
110110010    1    2    2    1    3    3    1    4  4.671717 0.792018 SUCCESS 113
110110100    3    1    2    0    3    4    2    3  6.239394 0.620436 SUCCESS 114
110111000    2    2    1    4    4    1    1    3  6.239394 0.620436 SUCCESS 115
110111010    4    1    3    3    2    0    2    1  6.207071 0.624049 SUCCESS 116
110111100    0    0    2    2    1    1    3    3  6.142424 0.631282 SUCCESS 117
111000000    1    1    0    1    3    0    2    4  8.211111 0.413125 SUCCESS 118
111000010    1    1    1    4    1    3    2    0  6.675758 0.571985 SUCCESS 119
111000100    3    1    3    0    0    0    1    3  8.712121 0.367160 SUCCESS 120
111000110    1    1    5    1    2    1    3    1  7.742424 0.459027 SUCCESS 121
111001000    4    1    1    3    2    2    4    1  6.239394 0.620436 SUCCESS 122
111001010    1    2    1    1    0    1    1    3  5.075758 0.749449 SUCCESS 123
111001100    0    4    4    2    3    2    0    2  8.809091 0.358656 SUCCESS 124
111010000    3    4    2    2    5    5    1    2 12.542424 0.128593 SUCCESS 125
111010010    2    2    2    2    1    1    1    3  2.037374 0.979845 SUCCESS 126
111010100    0    0    2    3    3    3    0    2  7.710101 0.462288 SUCCESS 127
111010110    1    3    1    8    1    3    1    2 21.786869 0.005326 FAILURE 128
111011000    3    1    3    1    1    2    0    1  5.108081 0.745964 SUCCESS 129
111011010    2    0    2    1    2    0    2    3  5.108081 0.745964 SUCCESS 130
111011100    3    3    2    3    1    2    1    1  3.104040 0.927660 SUCCESS 131
111100000    2    2    1    3    0    1    2    3  4.106061 0.847430 SUCCESS 132
111100010    2    2    6    1    1    1    1    0 12.380808 0.135005 SUCCESS 133
111100100    4    1    1    3    1    1    3    0  7.209091 0.514251 SUCCESS 134
111100110    2    5    3    1    3    1    1    3  7.807071 0.452540 SUCCESS 135
111101000    6    5    1    1    6    2    1    0 24.922222 0.001602 FAILURE 136
111101010    2    0    0    3    1    1    2    5 10.312121 0.243799 SUCCESS 137
111101100    1    2    2    1    1    1    2    0  4.041414 0.853368 SUCCESS 138
111101110    5    4    0    3    0    2    2    1 11.912121 0.155168 SUCCESS 139
111110000    3    1    2    2    0    2    3    1  4.106061 0.847430 SUCCESS 140
111110010    3    1    2    2    1    1    1    1  3.039394 0.931861 SUCCESS 141
111110100    3    2    2    3    4    1    2    2  3.669697 0.885628 SUCCESS 142
111110110    2    1    2    1    2    1    1    3  2.538384 0.959917 SUCCESS 143
111111000    2    1    5    0    1    0    2    1 10.279798 0.245934 SUCCESS 144
111111010    1    0    1    2    2    1    1    2  4.041414 0.853368 SUCCESS 145
111111100    1    3    2    0    4    0    1    1  8.211111 0.413125 SUCCESS 146
111111110    2    2    3    1    6    1    1    3 10.910101 0.206845 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.984375	M = 1024	N = 8	m = 9	n = 8192
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    1    0    1    2    2    3    0  6.142424 0.631282 SUCCESS   0
000000011    2    3    0    1    3    3    4    0  8.275758 0.407007 SUCCESS   1
000000101    2    1    3    2    1    0    1    1  4.574747 0.801909 SUCCESS   2
000000111    5    4    1    1    1    2    0    1 10.845455 0.210611 SUCCESS   3
000001001    2    4    0    3    3    6    2    2 13.544444 0.094440 SUCCESS   4
000001011    1    1    5    2    1    0    0    1 10.780808 0.214431 SUCCESS   5
000001101    0    0    2    3    3    2    2    0  7.176768 0.517687 SUCCESS   6
000001111    5    3    2    1    0    1    0    2 10.312121 0.243799 SUCCESS   7
000010001    1    2    1    1    3    2    3    3  3.104040 0.927660 SUCCESS   8
000010011    2    2    2    4    5    6    3    2 15.677778 0.047231 SUCCESS   9
000010101    0    3    2    2    0    4    1    3  7.742424 0.459027 SUCCESS  10
000010111    2    3    3    3    1    1    1    2  3.104040 0.927660 SUCCESS  11
000011001    2    2    1    1    3    4    5    1  8.841414 0.355850 SUCCESS  12
000011011    0    1    2    2    3    0    2    2  5.108081 0.745964 SUCCESS  13
000011101    4    3    1    1    1    3    0    0  8.744444 0.364311 SUCCESS  14
000011111    4    3    1    1    0    4    2    2  7.774747 0.455777 SUCCESS  15
000100011    3    2    0    2    2    2    3    2  3.104040 0.927660 SUCCESS  16
000100101    1    2    2    2    2    1    5    4  7.807071 0.452540 SUCCESS  17
000100111    1    2    1    1    4    3    2    2  4.138384 0.844427 SUCCESS  18
000101001    3    3    1    3    1    4    3    4  7.338384 0.500602 SUCCESS  19
000101011    0    3    2    0    0    3    1    3  8.211111 0.413125 SUCCESS  20
000101101    1    2    3    0    0    1    0    3  8.178788 0.416203 SUCCESS  21
000101111    1    1    4    3    2    1    2    0  6.174747 0.627665 SUCCESS  22
000110011    3    1    1    3    3    4    2    1  5.205051 0.735452 SUCCESS  23
000110101    1    1    1    4    1    3    3    1  5.673737 0.683725 SUCCESS  24
000110111    0    1    2    1    4    0    2    1  7.677778 0.465562 SUCCESS  25
000111001    3    2    2    3    1    1    2    1  2.570707 0.958352 SUCCESS  26
