		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4.867188	M = 2500	N = 8	m = 9	n = 20000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    6    2    5    6    3    2    5  4.931853 0.764834 SUCCESS   0
000000011    4    3    6    5    4    2    4    2  4.974882 0.760257 SUCCESS   1
000000101    3    4    3    4    9    2    3    4  8.053088 0.428302 SUCCESS   2
000000111    4    3    6    7    7    4    3    2  5.736158 0.676758 SUCCESS   3
000001001    5    3    3    7    4    7    5    5  3.574794 0.893308 SUCCESS   4
000001011    4    5    2    7    6    7    8    7  7.146175 0.520947 SUCCESS   5
000001101    7    1    4    5    3    3    2    8  9.592191 0.294823 SUCCESS   6
000001111    7    3    9    4    3    5    1    5  9.393597 0.310188 SUCCESS   7
000010001    8    5    0    3    5    4    8    5 10.085366 0.259085 SUCCESS   8
000010011    2    5    5    6    4    4    3    7  4.041490 0.853361 SUCCESS   9
000010101    2    2    6    3    8    4    4    7  7.854494 0.447811 SUCCESS  10
000010111    2    5    4    8    4    7    4    4  5.425028 0.711331 SUCCESS  11
000011001    3    9    7    5    3    5    8    5  8.149075 0.419045 SUCCESS  12
000011011    5    1    6    8    6    4    8    8 10.111845 0.257263 SUCCESS  13
000011101    5    3    2    4    3    2    2    8  8.943451 0.347089 SUCCESS  14
000011111    8    4    6    5    3    6    1    4  6.851594 0.552726 SUCCESS  15
000100011    8    7    3    2    4    3    8    8 10.578541 0.226742 SUCCESS  16
000100101    8    4    3    4    5    4    5    1  6.470956 0.594631 SUCCESS  17
000100111    7    9    6    5    5    4    1    4  8.347669 0.400266 SUCCESS  18
000101001    4    4    4    4    4    6    3    2  3.548315 0.895408 SUCCESS  19
000101011    3    2    6    3    7    4    7    8  7.655900 0.467784 SUCCESS  20
000101101    9    4    5    4    4    6    7    4  5.494536 0.703645 SUCCESS  21
000101111    3    6    4    3    4    7    9    5  6.653000 0.574491 SUCCESS  22
000110011    2    7    3    4    2    4   10    5 11.088265 0.196748 SUCCESS  23
000110101    8    3    8    3    7    4    9    6 10.648048 0.222450 SUCCESS  24
000110111    4    9    4    4   10    4    3    8 12.653847 0.124328 SUCCESS  25
000111001    8    4    3    5    9    2    1    6 11.780034 0.161291 SUCCESS  26
000111011    3    1    5    6    3    5    2    6  6.937652 0.543374 SUCCESS  27
000111101    5    4    4    3    7    5    6    4  2.459358 0.963599 SUCCESS  28
000111111    3    4    3    6    4    8    2    7  6.851594 0.552726 SUCCESS  29
001000011    4    4    1    5    3    4    4    4  4.706780 0.788407 SUCCESS  30
001000101    4    3    3    3    8    6    3    3  6.202854 0.624521 SUCCESS  31
001000111    6    6    5    3    3    5    7    5  2.995562 0.934636 SUCCESS  32
001001011    7    5    7    6    7    6    4    2  5.338971 0.720808 SUCCESS  33
001001101    2    2    6    4    4    3    3    7  6.513985 0.589857 SUCCESS  34
001001111    7    4    2    8    3    4    3    4  6.739058 0.565030 SUCCESS  35
001010011    4    8    5    2    5    7    4    1  8.278161 0.406781 SUCCESS  36
001010101    7    7    4    6    7    4    4    5  3.644302 0.887706 SUCCESS  37
001010111    7   10    8    2    7    2    7    9 17.651795 0.023994 SUCCESS  38
001011011    7    7    5    4    6    6    8    5  4.716709 0.787381 SUCCESS  39
001011101    4    2    6    6    2    3    4    4  5.242983 0.731318 SUCCESS  40
001011111    6    3    3    6    3    4    8    4  5.156926 0.740680 SUCCESS  41
001100101    6    8   10    4    4    7   10    2 16.536359 0.035316 SUCCESS  42
001100111    4    6    3    4    3    5   10    5  7.655900 0.467784 SUCCESS  43
001101011    5    4    7    5    4    6   10    5  7.146175 0.520947 SUCCESS  44
001101101    4    3   10    4    8    3    6    6  9.999308 0.265074 SUCCESS  45
001101111    3    8    4    6    7    6    3    8  7.301741 0.504454 SUCCESS  46
001110101    7    8    3    1    4    8    5    7 10.154874 0.254324 SUCCESS  47
001110111    4    4    7    4    6    4    4    7  2.995562 0.934636 SUCCESS  48
001111011    5    4    4    3    4    6    4    6  1.923155 0.983278 SUCCESS  49
001111101   13    4    7    5    3    3    3    4 17.512779 0.025191 SUCCESS  50
001111111    2    4    3    7    4   11    2    7 14.434573 0.071118 SUCCESS  51
010000011    5    2    5    6    2    2    1    8 10.750655 0.216232 SUCCESS  52
010000111    5    6    1    4    3    2    2    6  8.096116 0.424138 SUCCESS  53
010001011    8    6    2    5    4    7    4    4  5.537564 0.698875 SUCCESS  54
010001111    7    6    5    3    3    5    6    3  3.730360 0.880595 SUCCESS  55
010010011    8    1    3    7    6    7    4    2 10.085366 0.259085 SUCCESS  56
010010111    6    2    8    5    7    3    2    3  8.278161 0.406781 SUCCESS  57
010011011    3    5    7    4    6    4    2    2  5.779187 0.671950 SUCCESS  58
010011111    4    4    2    5    3    4    4    3  3.859446 0.869577 SUCCESS  59
010100011    3    5    7    4    4    5    4    4  2.346822 0.968492 SUCCESS  60
010100111    4    6    6    2    2    7    2    3  7.629421 0.470480 SUCCESS  61
010101011    5    3    4    5    8    8    3    7  6.765537 0.562128 SUCCESS  62
010101111    4    5    8    4    6    2    7    4  5.537564 0.698875 SUCCESS  63
010110011    8    3    5    9    1   10    5    4 15.351415 0.052662 SUCCESS  64
010110111    5    8    8    4    7    6    7    6  6.792016 0.559230 SUCCESS  65
010111011    5    4    8    3    7    4    5    5  4.110998 0.846972 SUCCESS  66
010111111    7    3    3    8    6    2    8    3  9.350568 0.313591 SUCCESS  67
011000111    4    9    3    3    5    5    4    9  9.039438 0.338980 SUCCESS  68
011001111    6    9    4    5    2   10    4    3 12.273209 0.139424 SUCCESS  69
011010111    3    2    8    6    4    7    7    4  7.076667 0.528384 SUCCESS  70
011011111    3    8    6    5    7    7    2    8  8.840844 0.355900 SUCCESS  71
011101111    4    3    6    5   10    4    4    7  8.036538 0.429909 SUCCESS  72
011111111    2    7    3    5    5    3    3    5  4.931853 0.764834 SUCCESS  73
100000000    4    6    2    5    6    3    2    5  4.931853 0.764834 SUCCESS  74
100010000    4    2    2    6    3    5    1    5  7.828015 0.450448 SUCCESS  75
100100000    6    0    3    9    4    3    4    6 10.975728 0.203078 SUCCESS  76
100101000    7    8    4    2    6    9    9    0 17.469750 0.025573 SUCCESS  77
100110000    3    1    2    3    4    1    8    2 13.534280 0.094741 SUCCESS  78
100111000    8    5    9    5    3    5    6    1  9.886772 0.273063 SUCCESS  79
101000000    3    7    1    7    5    3    2    7  9.281060 0.319144 SUCCESS  80
101000100    5    7    2    4    3    4    3    3  5.242983 0.731318 SUCCESS  81
101001000    4    2    3    7    3    4    5    4  4.663751 0.792836 SUCCESS  82
101001100    2    2    6    6    6    3    8    4  7.275261 0.507246 SUCCESS  83
101010000    5   13    4    7    3    5    2    8 19.700622 0.011530 SUCCESS  84
101010100    4    7    4    5    4    3    6    3  3.194156 0.921589 SUCCESS  85
101011000    5    5    5    6   10    7    3    5  7.569842 0.476575 SUCCESS  86
101011100    7    6    5    2    5    8    6    7  6.298841 0.613796 SUCCESS  87
101100000    7    3    4    3    5   10    4    1 11.511932 0.174344 SUCCESS  88
101100100    6    4    6    6    7    4    6    5  2.373301 0.967377 SUCCESS  89
101101000    3    4    2    7    5    4    1    6  7.205754 0.514605 SUCCESS  90
101101100    4    3    8    4    3    6    5    6  4.422128 0.817172 SUCCESS  91
101110000    6    5    9    4    9    5    7    3  9.377047 0.311494 SUCCESS  92
101110100    4    4    3    4    3    4    5    4  2.277314 0.971308 SUCCESS  93
101111000    4    3    6    3    6    5    7    5  3.151127 0.924518 SUCCESS  94
101111100    5    7    3    2    4    3    4    9  8.122596 0.421587 SUCCESS  95
110000000    5    6    3    3    5    3    5    2  4.240084 0.834839 SUCCESS  96
110000010    2    2    2    4    7    7   12    1 21.256275 0.006497 FAILURE  97
110000100    5    5    4    2    3    3    7    6  4.620722 0.797237 SUCCESS  98
110001000    5    2    6    6    5    5    2    6  4.309592 0.828167 SUCCESS  99
110001010    8    9    5    4    5    4    7    6  7.258712 0.508994 SUCCESS 100
110010000    5    0    1   10    4    2    5    5 15.679095 0.047210 SUCCESS 101
110010010    4    5    5    8    4    7    3    4  4.266563 0.832308 SUCCESS 102
110010100    6    9    5    4    6   10    6    1 13.345616 0.100498 SUCCESS 103
110011000    6    5    1    1    3    3    6    3  9.099016 0.334012 SUCCESS 104
110011010    4    6    6   10    3    9    4    3 11.538411 0.173017 SUCCESS 105
110100000    5    3    2    7    5    4    1   11 14.745703 0.064283 SUCCESS 106
110100010    4    9    3    1    2    5    2    4 11.329888 0.183699 SUCCESS 107
110100100    6    2    5    6    6    6    4    4  3.151127 0.924518 SUCCESS 108
110101000    5   10    5    5    4    4    2    7  8.615771 0.375738 SUCCESS 109
110101010    2    3    4    4    5    7    5    5  3.773388 0.876968 SUCCESS 110
110101100    7    2    6    4    6    9    4    5  7.189204 0.516364 SUCCESS 111
110110000    9    2    6    3    3    4    5    3  8.010059 0.432488 SUCCESS 112
110110010    3    4    7    9    6    7    4    5  6.878074 0.549843 SUCCESS 113
110110100    4    5    4    7   10    2    5    5  8.615771 0.375738 SUCCESS 114
110111000    6    5    4    4   10    8    8    4 10.492483 0.232146 SUCCESS 115
110111010    6    7    4    2    5    4    5    8  5.381999 0.716075 SUCCESS 116
110111100    5    6    5    3    6    5    7    8  4.336071 0.825601 SUCCESS 117
111000000    4    4    5    8    3    1    4    4  6.626521 0.577411 SUCCESS 118
111000010    4    8    3    2    3    4    7    6  6.851594 0.552726 SUCCESS 119
111000100    8    3    5    3    4    4    2    6  5.891724 0.659359 SUCCESS 120
111000110    3    8    8    6    5    9    5    6  9.065917 0.336766 SUCCESS 121
111001000    3    2    2    7    7    4    3    8  9.125495 0.331820 SUCCESS 122
111001010    5    9    6    3    4    7    4    6  6.186305 0.626372 SUCCESS 123
111001100    7    9    5    3    3    4    9    2 11.581440 0.170879 SUCCESS 124
111010000    5    5    4    7    2    2    3    6  5.623622 0.689309 SUCCESS 125
111010010    6    6    8    7    4    3    2    4  6.384899 0.604201 SUCCESS 126
111010100    6    5    6    2    4    6    4    7  3.842896 0.871012 SUCCESS 127
111010110    5    5    6    5    7   12    3   13 26.773876 0.000773 FAILURE 128
111011000    5    7    6    3    4    1    5    7  6.272362 0.616752 SUCCESS 129
111011010    1    3    4    8   10    6    1    3 15.904168 0.043772 SUCCESS 130
111011100    3    6    7    1    3    8    6    3  8.969930 0.344839 SUCCESS 131
111100000    4    2    3    5    0    3    9    6 12.289758 0.138736 SUCCESS 132
111100010    4    3    5    5    2    2    5    6  4.663751 0.792836 SUCCESS 133
111100100    5    4    4    5    5    5    3    5  1.075821 0.997722 SUCCESS 134
111100110    9   10    9    5    5    5    7    2 15.533459 0.049566 SUCCESS 135
111101000    5    7    5    5    2    2    7    4  5.580593 0.694096 SUCCESS 136
111101010    7    4    6    5    4    8    4    3  4.534665 0.805955 SUCCESS 137
111101100    4    5    8    4    4    7    4    6  3.955433 0.861122 SUCCESS 138
111101110    3    5    4    3    5    8    6    5  3.998461 0.857262 SUCCESS 139
111110000    5    2    4    4    4    6    8    3  5.312491 0.723714 SUCCESS 140
111110010    4    5    1    3    3    5    1    3  8.718377 0.366607 SUCCESS 141
111110100    8    4    6    6    5    3    2    4  5.425028 0.711331 SUCCESS 142
111110110    7    5    5    6    8    4    2    8  7.301741 0.504454 SUCCESS 143
111111000    4    1    6    9    2    3    3    6 10.707627 0.218822 SUCCESS 144
111111010    6    4    4    4    6    4    2    4  3.081619 0.929131 SUCCESS 145
111111100    3    7    5    6    3    8    1    5  7.967030 0.436697 SUCCESS 146
111111110    2    7    3    5    5    3    3    5  4.931853 0.764834 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4.867188	M = 2500	N = 8	m = 9	n = 20000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    2    4    7    5    2    3    3  9.254581 0.321277 SUCCESS   0
000000011    2    6    5    6    7    3    2    4  5.891724 0.659359 SUCCESS   1
000000101    2    3    6    1    7    4    1    3 10.949249 0.204591 SUCCESS   2
000000111    4    3    7    9    7    5    4    3  7.344769 0.499932 SUCCESS   3
000001001    4    4    2   11    2    9    1    5 18.558707 0.017406 SUCCESS   4
000001011    2    4    7    2    7    3    1    4  9.635219 0.291568 SUCCESS   5
000001101    4    5    3    3    6    9    5    2  7.275261 0.507246 SUCCESS   6
000001111    4    6    5    8    2    5    5    5  4.266563 0.832308 SUCCESS   7
000010001    3    6    3    5    6    4    4   10  7.924002 0.440929 SUCCESS   8
000010011    6    1    3    6    1    6    3    3  9.367118 0.312279 SUCCESS   9
000010101    2    3    4    3    6    6    3    6  4.931853 0.764834 SUCCESS  10
000010111    1    9    8    2    5    5    7    3 12.316238 0.137642 SUCCESS  11
000011001    5    6    6    7    5    4    1    3  5.580593 0.694096 SUCCESS  12
000011011    5    4    3    5    4    5    6    7  2.303793 0.970253 SUCCESS  13
000011101    8    2    6    7    6    6    5    5  5.607072 0.691151 SUCCESS  14
000011111    6    5    4    8    4    7    6    6  4.180506 0.840481 SUCCESS  15
000100011    3    6    3    4    4    3    4    7  3.928954 0.863476 SUCCESS  16
000100101    3    6    3    6    3    5    6    2  4.776288 0.781197 SUCCESS  17
000100111   10    2    2   10    3    6    5    4 15.818111 0.045059 SUCCESS  18
000101001    7    5    6    4    4    2    2    4  5.199955 0.736007 SUCCESS  19
000101011    1    1    4    2    3    3    1   10 18.462720 0.018013 SUCCESS  20
000101101    5    5    4    4    7    3    2    4  3.928954 0.863476 SUCCESS  21
000101111    3    6    9    1    5    6    5    6  8.347669 0.400266 SUCCESS  22
000110011    7    2    6    9    7    8    1   10 18.386592 0.018508 SUCCESS  23
000110101    3    2    3    2    4    6    4    3  6.288912 0.614904 SUCCESS  24
000110111    2    8    4    3    4    3    6    6  6.159825 0.629334 SUCCESS  25
000111001    8    7    6    4    7    6    7    3  6.411378 0.601254 SUCCESS  26
000111011    4    5    5    4    3    4    5    6  1.499488 0.992716 SUCCESS  27
000111101    4    6    3    6    1    5    4    2  6.513985 0.589857 SUCCESS  28
000111111    5    7    4    8    3    4    4    6  4.534665 0.805955 SUCCESS  29
001000011    7    5    7    1    4    2    5    3  7.741957 0.459074 SUCCESS  30
001000101    4    4    3    5    4    6    3   10  7.811465 0.452100 SUCCESS  31
001000111    5    7    2    5    2    3    3    6  6.202854 0.624521 SUCCESS  32
001001011    2    5    5    3    6    2    4    4  4.819316 0.776702 SUCCESS  33
001001101    3    5    7    5    1    5    6    2  6.894623 0.548044 SUCCESS  34
001001111    4    2    2    4    4    6    4    3  5.130447 0.743547 SUCCESS  35
001010011    8    7    5    6    5    2    4    4  5.381999 0.716075 SUCCESS  36
001010101   11    4    6    5    6    7    4    7 10.760585 0.215637 SUCCESS  37
001010111    9    3    6    3    8    4    2    9 12.964978 0.113060 SUCCESS  38
